Sector,Sub-Industry,Production_Process,Assets,Fibres_And_Other_Materials_Dependency_Description,Fibres_And_Other_Materials_Materiality,Fibres_And_Other_Materials_Materiality_Justification,Fibres_And_Other_Materials_Assets,Genetic_Materials_Dependency_Description,Genetic_Materials_Materiality,Genetic_Materials_Materiality_Justification,Genetic_Materials_Assets,Ground_Water_Dependency_Description,Ground_Water_Materiality,Ground_Water_Materiality_Justification,Ground_Water_Assets,Surface_Water_Dependency_Description,Surface_Water_Materiality,Surface_Water_Materiality_Justification,Surface_Water_Assets,Animal_Based_Energy_Dependency_Description,Animal_Based_Energy_Materiality,Animal_Based_Energy_Materiality_Justification,Animal_Based_Energy_Assets,Filtration_Dependency_Description,Filtration_Materiality,Filtration_Materiality_Justification,Filtration_Assets,Bio-Remediation_Dependency_Description,Bio-Remediation_Materiality,Bio-Remediation_Materiality_Justification,Bio-Remediation_Assets,Dilution_By_Atmosphere_And_Ecosystems_Dependency_Description,Dilution_By_Atmosphere_And_Ecosystems_Materiality,Dilution_By_Atmosphere_And_Ecosystems_Materiality_Justification,Dilution_By_Atmosphere_And_Ecosystems_Assets,Mediation_Of_Sensory_Impacts_Dependency_Description,Mediation_Of_Sensory_Impacts_Materiality,Mediation_Of_Sensory_Impacts_Materiality_Justification,Mediation_Of_Sensory_Impacts_Assets,Buffering_And_Mass_Attenuation_Of_Flows_Dependency_Description,Buffering_And_Mass_Attenuation_Of_Flows_Materiality,Buffering_And_Mass_Attenuation_Of_Flows_Materiality_Justification,Buffering_And_Mass_Attenuation_Of_Flows_Assets,Mass_Stabilisation_And_Erosion_Control_Dependency_Description,Mass_Stabilisation_And_Erosion_Control_Materiality,Mass_Stabilisation_And_Erosion_Control_Materiality_Justification,Mass_Stabilisation_And_Erosion_Control_Assets,Water_Flow_Maintenance_Dependency_Description,Water_Flow_Maintenance_Materiality,Water_Flow_Maintenance_Materiality_Justification,Water_Flow_Maintenance_Assets,Flood_And_Storm_Protection_Dependency_Description,Flood_And_Storm_Protection_Materiality,Flood_And_Storm_Protection_Materiality_Justification,Flood_And_Storm_Protection_Assets,Ventilation_Dependency_Description,Ventilation_Materiality,Ventilation_Materiality_Justification,Ventilation_Assets,Pollination_Dependency_Description,Pollination_Materiality,Pollination_Materiality_Justification,Pollination_Assets,Maintain_Nursery_Habitats_Dependency_Description,Maintain_Nursery_Habitats_Materiality,Maintain_Nursery_Habitats_Materiality_Justification,Maintain_Nursery_Habitats_Assets,Pest_Control_Dependency_Description,Pest_Control_Materiality,Pest_Control_Materiality_Justification,Pest_Control_Assets,Disease_Control_Dependency_Description,Disease_Control_Materiality,Disease_Control_Materiality_Justification,Disease_Control_Assets,Soil_Quality_Dependency_Description,Soil_Quality_Materiality,Soil_Quality_Materiality_Justification,Soil_Quality_Assets,Water_Quality_Dependency_Description,Water_Quality_Materiality,Water_Quality_Materiality_Justification,Water_Quality_Assets,Climate_Regulation_Dependency_Description,Climate_Regulation_Materiality,Climate_Regulation_Materiality_Justification,Climate_Regulation_Assets, 
Consumer Staples,Agricultural Products,Large-scale rainfed arable crops,Species; Habitats; Atmosphere; Minerals; Water; Soils and sediments; Land geomorphology,"The production of crops requires the use of natural occurring materials, waste and compost",Medium,"Most of the time the PP can take place with limited (but not with full) disruption of the ES

 Although less practical, PP can take place without the ES due to availability of substitutes
",Species; Habitats,Interbreeding of modern crops with wild relatives to establish a more resilient crop,High,ES is critical & irreplaceable in PP ,Species,,,,,Water is required as an input in the production process,Medium,"• Most of the time the PP can take place with limited (but not with full) disruption of the ES
• Although less practical, PP can take place without the ES due to availability of substitutes
",Water,Mechanical animal energy used in production process,Very Low,Most of the time the PP can take place even with full disruption of the ES ,Species,Arable agriculture is dependent on filtration to remove pollutants.,Medium,Most of the time the PP can take place even with full disruption of the ES ,Species; Habitats,Waste assimilation as input into the agriculture process,Very High,·       ES is critical & irreplaceable in PP ,Species; Habitats,,,,,,,,,"Sediments can impact on, and result from agricultural practice, and as such, the flushing or rentention of such sediments is important to agriculture.",High,The PP is extremely vulnerable to disruption The degree of protection offered by the ES is critical & irreplaceable for the PP ,Habitats; Soils and sediments; Land geomorphology,,,,,Water flow maintenance is important in agriculture for the growth of grass and crops.,High,ES is critical & irreplaceable in PP,Habitats; Water; Atmosphere,Naturally occurring green infrastructure for the protection of crops and plantation,Very High,The PP is extremely vulnerable to disruption. The degree of protection offered by the ES is critical & irreplaceable for the PP ,Habitats,Maintenance of air quality,Low,Most of the time the PP can take place with limited (but not with full) disruption of the ES,Species,"Pollination of arable and pasture crops by insects, such as bumblebees, hoverflies, solitary bees and moths",High,"PP can take place with some disruption of the ES, but the high quantity of the ES required for the PP makes this a high risk",Species; Atmosphere; Water,,,,,"Natural pest control from insects, birds and small mammals",High,The PP is extremely vulnerable to disruption The degree of protection offered by the ES is critical & irreplaceable for the PP ,Species; Habitats,Disease control for food production on land [Same as pests?],High,The PP is extremely vulnerable to disruption The degree of protection offered by the ES is critical & irreplaceable for the PP ,Species; Habitats,To maintain fertile (optimal) soil for plant/trees nutrition,High,"PP can take place with some disruption of the ES, but the high quantity of the ES required for the PP makes this a high risk",Species; Habitats; Soils and sediments; Minerals; Water; Land geomorphology,Maintenance of water chemical composition for agriculture.,Very Low,• Most of the time the PP can take place even with full disruption of the ES ,Species; Water,Climate regulation reduces or buffers negative climate impacts on crop growth,High,The PP is extremely vulnerable to disruption The degree of protection offered by the ES is critical & irreplaceable for the PP ,Habitats; Water; Atmosphere; Species; Soils and sediments, 
Consumer Staples,Personal Products,Production of leisure or personal products,Species; Habitats; Atmosphere; Ocean Geomorphology; Water,Natural occurring materials for production process,Very High,"ES is critical & irreplaceable in PP 

PP can take place with some disruption of the ES, but the high quantity of impact mitigation required for the PP makes this a high risk
",Species; Habitats,,,,,Water is required as an input in the production process,High,"Although less practical, PP can take place without the ES due to availability of substitutes",Water,Water is required as an input in the production process,High,"Although less practical, PP can take place without the ES due to availability of substitutes",Water,,,,,,,,,,,,,Natural dilution of production sourced pollution by atmosphere and ecosystems,Low,Most of the time the PP can take place even with full disruption of the ES ,Atmosphere; Ocean Geomorphology; Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Consumer Staples,Tobacco,Tobacco production,Species; Habitats; Atmosphere; Ocean Geomorphology; Water; Soils and sediments,Timber and cellulose as a direct input to production process,Very High,ES is critical & irreplaceable in PP ,Species; Habitats,,,,,Water is required as an input in the production process,Very High, ES is critical & irreplaceable in PP,Water,Water is required as an input in the production process,Very High, ES is critical & irreplaceable in PP,Water,,,,,,,,,,,,,,,,,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,Water flow maintenance for production processes,Medium,Most of the time the PP can take place with limited (but not with full) disruption of the ES,Habitats; Water; Atmosphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Consumer Staples,Agricultural Products,Aquaculture,Species; Habitats; Atmosphere; Minerals; Water; Soils and sediments; Land geomorphology; Ocean geomorphology,Plant and animal based materials for feedstock,Very High,"ES is critical & irreplaceable in PP 

PP can take place with some disruption of the ES, but the high quantity of the ES required for the PP makes this a high risk",Species; Habitats,Effective management of the genetic resources for aquaculture,Very Low,Most of the time the PP can take place even with full disruption of the ES ,Species,Water is required as an input in the production process,Very Low,Most of the time the PP can take place even with full disruption of the ES,Water,Water is required as an input in the production process,Very High,ES is critical & irreplaceable in PP,Water,,,,,"Aquaculturists are dependent on biological filtration, sequestration, storage, and accumulation of pollutants and other compounds in the natural environment, and those resulting from aquacultural production, in order to provide clean and safe conditions to rear fish and other products, and to minimise the impacts resulting from wastes generated from fish farms for example.",Low,,Species; Habitats,Bio-remediation to control accumulation of organic matter,Medium,"Most of the time the PP can take place with limited (but not with full) disruption of the ES

",Species; Habitats,Natural dilution of pollution from bio-physico chemical processes during aquaculture process,Medium,"Most of the time the PP can take place with limited (but not with full) disruption of the ES

",Atmosphere; Ocean Geomorphology; Water,,,,,"Sediments can impact on, and result from aquacultural practice, and as such, the flushing or rentention of such sediments is important to aquaculture.",Medium,Most of the time the PP can take place with limited (but not with full) disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,Naturally occurring erosion control for aquaculture and fishery environments,High,"Although less practical, PP can take place without the ES due to availability of protection substitutes",Habitats; Soils and sediments; Land geomorphology,,,,,"Naturally occurring green infrastructure to protect against damages or disruption from natural hazards, such as floods and storms ",High,The PP is extremely vulnerable to disruption. The degree of protection offered by the ES is critical & irreplaceable for the PP ,Habitats,Maintenance of air quality,Medium,"Although less practical, PP can take place without the ES due to availability of substitutes",Species,,,,,Providing habitats that enable healthy and sustainable nursery stocks; essential for the aquaculture industry,Medium,"Most of the time the PP can take place with limited (but not with full) disruption of the ES
Although less practical, PP can take place without the ES due to availability of substitutes",Species; Habitats; Water,Natural pest control to maintain conditions for healthy fishstocks,Medium,"Although less practical, PP can take place without the ES due to availability of protection substitutes",Species; Habitats,Disease control for aquaculture production through the use of bacteria and bacteriophages as biological agents ,Medium,"Although less practical, PP can take place without the ES due to availability of protection substitutes",Species; Habitats,To maintain soil quality on coasts and river banks,Very Low,Most of the time the PP can take place even with full disruption of the ES,Species; Habitats; Soils and sediments; Minerals; Water; Land geomorphology,,,,,Climate regulation reduces or buffers negative climate impacts on aquaculture and fisheries,High,The PP is extremely vulnerable to disruption The degree of protection offered by the ES is critical & irreplaceable for the PP ,Habitats; Water; Atmosphere; Species; Soils and sediments, 
Consumer Staples,Agricultural Products,Small-scale livestock (beef and dairy),Species; Habitats; Atmosphere; Water; Soils and sediments; Land geomorphology; Ocean geomorphology,"The production of crops requires the use of natural occurring materials, waste and compost",Very High,"ES is critical & irreplaceable in PP 

PP can take place with some disruption of the ES, but the high quantity of the ES required for the PP makes this a high risk",Species; Habitats,Selective breeding for livestock maintenance,Very Low,Most of the time the PP can take place even with full disruption of the ES ,Species,Water is required as an input in the production process,Very High, ES is critical & irreplaceable in PP,Water,Water is required as an input in the production process,Very High, ES is critical & irreplaceable in PP,Water,,,,,Livestock agriculture is dependent on filtration to remove pollutants.,Medium,,Species; Habitats,Waste assimilation as input into the agriculture process,Medium,"Although less practical, PP can take place without the ES due to availability of impact mitigation solutions",Species; Habitats,Atmospheric and ecosystem-based dilution for agricultural processes,Low,Most of the time the PP can take place even with full disruption of the ES ,Atmosphere; Ocean Geomorphology; Water,Naturally occurring shelterbelts and other cover crops/vegetation to mediate noise/visual impacts and dust from livestock farming,Low,Most of the time the PP can take place even with full disruption of the ES ,Species; Habitats; Water; Atmosphere,Depend on to prevent damage to other ecosystems and fertiliser run-off.,Low,• Most of the time the PP can take place with limited (but not with full) disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,Naturally occurring erosion control to maintain soils and prevent damages to ecosystems (e.g. fertiliser run-off),Low,Most of the time the PP can take place with limited (but not with full) disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,Water flow maintenance to ensure water provision for drinking and washing of livestock,High,ES is critical & irreplaceable in PP,Habitats; Water; Atmosphere,Naturally shelterbelts and other cover crops/vegetation to protect livestock,Very High,The PP is extremely vulnerable to disruption. The degree of protection offered by the ES is critical & irreplaceable for the PP ,Habitats,Maintenance of air quality,Very Low,"Most of the time the PP can take place even
with full disruption of the ES",Species,"Pollination of arable and pasture crops by insects, such as bumblebees, hoverflies, solitary bees and moths",Very Low,• Most of the time the PP can take place even with full disruption of the ES ,Species; Atmosphere; Water,,,,,"Natural pest control from insects, birds and small mammals",Medium,"Most of the time the PP can take place even
with full disruption of the ES",Species; Habitats,Disease control for food production on land,High,"Although less practical, PP can take place without the ES due to availability of protection substitutes",Species; Habitats,To maintain fertile (optimal) soil for plant/trees nutrition,Medium,"Most of the time the PP can take place with limited (but not with full) disruption of the ES 

Although less practical, PP can take place without the ES due to availability of substitutes",Species; Habitats; Soils and sediments; Minerals; Water; Land geomorphology,Maintenance  of water chemical composition for general use and watering,Very High,"PP can take place with some disruption of the ES, but the high quantity of the ES required for the PP makes this a high risk",Species; Water,Climate regulation reduces or buffers negative climate impacts,High,Most of the time the PP can take place with limited (but not with full) disruption of the ES,Habitats; Water; Atmosphere; Species; Soils and sediments, 
Consumer Staples,Agricultural Products,Large-scale livestock (beef and dairy),Species; Habitats; Atmosphere; Minerals; Water; Soils and sediments; Land geomorphology; Ocean geomorphology,"The production of crops requires the use of natural occurring materials, waste and compost",Very High,"ES is critical & irreplaceable in PP 

PP can take place with some disruption of the ES, but the high quantity of the ES required for the PP makes this a high risk",Species; Habitats,Selective breeding for livestock maintenance,Very Low,Most of the time the PP can take place even with full disruption of the ES ,Species,Water is required as an input in the production process,Very High, ES is critical & irreplaceable in PP,Water,Water is required as an input in the production process,Very High, ES is critical & irreplaceable in PP,Water,,,,,Livestock agriculture is dependent on filtration to remove pollutants.,Medium,,Species; Habitats,Waste assimilation as input into the agriculture process,Medium,"Although less practical, PP can take place without the ES due to availability of impact mitigation solutions",Species; Habitats,Atmospheric and ecosystem-based dilution for agricultural processes,Low,Most of the time the PP can take place even with full disruption of the ES ,Atmosphere; Ocean Geomorphology; Water,Naturally occurring shelterbelts and other cover crops/vegetation to mediate noise/visual impacts and dust from livestock farming,Low,Most of the time the PP can take place even with full disruption of the ES ,Species; Habitats; Water; Atmosphere,Depend on to prevent damage to other ecosystems and fertiliser run-off.,Low,• Most of the time the PP can take place with limited (but not with full) disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,Naturally occurring erosion control to maintain soils and prevent damages to ecosystems (e.g. fertiliser run-off),Low,Most of the time the PP can take place with limited (but not with full) disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,Water flow maintenance to ensure water provision for drinking and washing of livestock,Medium,Most of the time the PP can take place with limited (but not with full) disruption of the ES,Habitats; Water; Atmosphere,Naturally shelterbelts and other cover crops/vegetation to protect livestock,Medium,"Although less practical, PP can take place without the ES due to availability of protection substitutes",Habitats,Maintenance of air quality,Very Low,"Most of the time the PP can take place even
with full disruption of the ES",Species,"Pollination of arable and pasture crops by insects, such as bumblebees, hoverflies, solitary bees and moths",Very Low,• Most of the time the PP can take place even with full disruption of the ES ,Species; Atmosphere; Water,,,,,"Natural pest control from insects, birds and small mammals",Low,"Most of the time the PP can take place even
with full disruption of the ES",Species; Habitats,Disease control for food production on land,Medium,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Species; Habitats,To maintain fertile (optimal) soil for plant/trees nutrition,Very Low,Most of the time the PP can take place even with full disruption of the ES,Species; Habitats; Soils and sediments; Minerals; Water; Land geomorphology,Maintenance  of water chemical composition for general use and watering,Medium,"Although less practical, PP can take place without the ES due to availability of substitutes",Species; Water,Climate regulation reduces or buffers negative climate impacts,Medium,Most of the time the PP can take place with limited (but not with full) disruption of the ES,Habitats; Water; Atmosphere; Species; Soils and sediments, 
Consumer Staples,Agricultural Products,Large-scale irrigated arable crops,Species; Habitats; Atmosphere; Water; Soils and sediments; Land geomorphology,"The production of crops requires the use of natural occurring materials, waste and compost",Medium,"Most of the time the PP can take place with limited (but not with full) disruption of the ES

 Although less practical, PP can take place without the ES due to availability of substitutes
",Species; Habitats,Interbreeding of modern crops with wild relatives to establish a more resilient crop,High,ES is critical & irreplaceable in PP ,Species,Water is required as an input in the production process,Very High, ES is critical & irreplaceable in PP,Water,Water is required as an input in the production process,High, ES is critical & irreplaceable in PP,Water,Mechanical animal energy used in production process,Very Low,Most of the time the PP can take place even with full disruption of the ES ,Species,Arable agriculture is dependent on filtration to remove pollutants.,Medium,Most of the time the PP can take place even with full disruption of the ES ,Species; Habitats,Arable agriculture is dependent on filtration to remove pollutants.,Very High,·       ES is critical & irreplaceable in PP ,Species; Habitats,,,,,,,,,"Sediments can impact on, and result from agricultural practice, and as such, the flushing or rentention of such sediments is important to agriculture.",High,The PP is extremely vulnerable to disruption The degree of protection offered by the ES is critical & irreplaceable for the PP ,Habitats; Soils and sediments; Land geomorphology,Naturally occurring erosion control to maintain soils and prevent damages to ecosystems (e.g. fertiliser run-off),Very High,The PP is extremely vulnerable to disruption The degree of protection offered by the ES is critical & irreplaceable for the PP ,Habitats; Soils and sediments; Land geomorphology,Water flow maintenance is important in agriculture for the growth of grass and crops.,High,ES is critical & irreplaceable in PP,Habitats; Water; Atmosphere,Naturally occurring green infrastructure for the protection of crops and plantation,Very High,The PP is extremely vulnerable to disruption. The degree of protection offered by the ES is critical & irreplaceable for the PP ,Habitats,Maintenance of air quality,Low,Most of the time the PP can take place with limited (but not with full) disruption of the ES,Species,"Pollination of arable and pasture crops by insects, such as bumblebees, hoverflies, solitary bees and moths",High,"PP can take place with some disruption of the ES, but the high quantity of the ES required for the PP makes this a high risk",Species; Atmosphere; Water,,,,,"Natural pest control from insects, birds and small mammals",High,The PP is extremely vulnerable to disruption The degree of protection offered by the ES is critical & irreplaceable for the PP ,Species; Habitats,Disease control for food production on land,High,The PP is extremely vulnerable to disruption The degree of protection offered by the ES is critical & irreplaceable for the PP ,Species; Habitats,To maintain fertile (optimal) soil for plant/trees nutrition,High,"PP can take place with some disruption of the ES, but the high quantity of the ES required for the PP makes this a high risk",Species; Habitats; Soils and sediments; Minerals; Water; Land geomorphology,Maintenance of water chemical composition for agriculture,High,"PP can take place with some disruption of the ES, but the high quantity of the ES required for the PP makes this a high risk",Species; Water,Climate regulation reduces or buffers negative climate impacts on crop growth,High,The PP is extremely vulnerable to disruption The degree of protection offered by the ES is critical & irreplaceable for the PP ,Habitats; Water; Atmosphere; Species; Soils and sediments, 
Consumer Staples,Agricultural Products,Small-scale irrigated arable crops,Species; Habitats; Atmosphere; Water; Soils and sediments; Land geomorphology,"The production of crops requires the use of natural occurring materials, waste and compost",Medium,"Most of the time the PP can take place with limited (but not with full) disruption of the ES

 Although less practical, PP can take place without the ES due to availability of substitutes
",Species; Habitats,Interbreeding of modern crops with wild relatives to establish a more resilient crop,High,ES is critical & irreplaceable in PP ,Species,Water is required as an input in the production process,Very High, ES is critical & irreplaceable in PP,Water,Water is required as an input in the production process,Very High, ES is critical & irreplaceable in PP,Water,Mechanical animal energy used in production process,Very High,ES is critical & irreplaceable in PP ,Species,Arable agriculture is dependent on filtration to remove pollutants.,Medium,ES is critical & irreplaceable in PP ,Species; Habitats,Arable agriculture is dependent on filtration to remove pollutants.,Very High,·       ES is critical & irreplaceable in PP ,Species; Habitats,,,,,,,,,"Sediments can impact on, and result from agricultural practice, and as such, the flushing or rentention of such sediments is important to aquaculture.",High,The PP is extremely vulnerable to disruption The degree of protection offered by the ES is critical & irreplaceable for the PP ,Habitats; Soils and sediments; Land geomorphology,Naturally occurring erosion control to maintain soils and prevent damages to ecosystems (e.g. fertiliser run-off),Very High,The PP is extremely vulnerable to disruption The degree of protection offered by the ES is critical & irreplaceable for the PP ,Habitats; Soils and sediments; Land geomorphology,Water flow maintenance is important in agriculture for the growth of grass and crops.,Very High,ES is critical & irreplaceable in PP,Habitats; Water; Atmosphere,Naturally occurring green infrastructure for the protection of crops and plantation,Very High,The PP is extremely vulnerable to disruption. The degree of protection offered by the ES is critical & irreplaceable for the PP ,Habitats,Maintenance of air quality,Low,Most of the time the PP can take place with limited (but not with full) disruption of the ES,Species,"Pollination of arable and pasture crops by insects, such as bumblebees, hoverflies, solitary bees and moths",Very High,"PP can take place with some disruption of the ES, but the high quantity of the ES required for the PP makes this a high risk",Species; Atmosphere; Water,,,,,"Natural pest control from insects, birds and small mammals",Very High,The PP is extremely vulnerable to disruption The degree of protection offered by the ES is critical & irreplaceable for the PP ,Species; Habitats,Disease control for food production on land ,Very High,The PP is extremely vulnerable to disruption The degree of protection offered by the ES is critical & irreplaceable for the PP ,Species; Habitats,To maintain fertile (optimal) soil for plant/trees nutrition,Very High,"PP can take place with some disruption of the ES, but the high quantity of the ES required for the PP makes this a high risk",Species; Habitats; Soils and sediments; Minerals; Water; Land geomorphology,Maintenance of water chemical composition for agriculture,Very High,"PP can take place with some disruption of the ES, but the high quantity of the ES required for the PP makes this a high risk",Species; Water,Climate regulation reduces or buffers negative climate impacts on crop growth,Very High,The PP is extremely vulnerable to disruption The degree of protection offered by the ES is critical & irreplaceable for the PP ,Habitats; Water; Atmosphere; Species; Soils and sediments, 
Consumer Staples,Agricultural Products,Saltwater wild-caught fish,Species; Habitats; Atmosphere; Water; Soils and sediments; Land geomorphology; Minerals,,,,,Effective management of the genetic resources for wild fisheries,Very High,"ES is critical & irreplaceable in PP 
",Species,,,,,Water is required as an input in the production process,Very High, ES is critical & irreplaceable in PP,Water,,,,,To dilute and filter pollutants,Very High,,Species; Habitats,,,,,,,,,,,,,Riverine fishing cannot take place if the river is overloaded with sediments,Medium,Most of the time the PP can take place with limited (but not with full) disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,Naturally occurring erosion control for aquaculture and fishery environments,Very Low,0,Habitats; Soils and sediments; Land geomorphology,,,,,,,,,Maintenance of air quality,Very Low,"Most of the time the PP can take place even
with full disruption of the ES",Species,,,,,Providing habitats that enable healthy and sustainable nursery stocks; essential for the fishing industry,Very High,ES is critical & irreplaceable in PP,Species; Habitats; Water,Natural pest control to maintain conditions for healthy fishstocks,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Species; Habitats,,,,,To maintain soil quality on coasts and river banks,Very Low,Most of the time the PP can take place even with full disruption of the ES ,Species; Habitats; Soils and sediments; Minerals; Water; Land geomorphology,Maintenance of water chemical composition for healthy aquaculture and fisheries.,Very High,ES is critical & irreplaceable in PP,Species; Water,,,,, 
Consumer Staples,Agricultural Products,Freshwater wild-caught fish,Species; Habitats; Atmosphere; Water; Soils and sediments; Land geomorphology; Minerals,,,,,Effective management of the genetic resources for wild fisheries,Very High,"ES is critical & irreplaceable in PP 
",Species,,,,,Water is required as an input in the production process,Very High, ES is critical & irreplaceable in PP,Water,,,,,To dilute and filter pollutants,Very High,,Species; Habitats,,,,,,,,,,,,,Riverine fishing cannot take place if the river is overloaded with sediments,Very High,The PP is extremely vulnerable to disruption The degree of protection offered by the ES is critical & irreplaceable for the PP ,Habitats; Soils and sediments; Land geomorphology,Naturally occurring erosion control for aquaculture and fishery environments,Very Low,0,Habitats; Soils and sediments; Land geomorphology,,,,,,,,,Maintenance of air quality,Low,"Although less practical, PP can take place without the ES due to availability of substitutes",Species,,,,,Providing habitats that enable healthy and sustainable nursery stocks; essential for the fishing industry,Very High,ES is critical & irreplaceable in PP,Species; Habitats; Water,Natural pest control to maintain conditions for healthy fishstocks,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Species; Habitats,Disease control to maintain fish stock,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Species; Habitats,To maintain soil quality on coasts and river banks,Medium,Most of the time the PP can take place with limited (but not with full) disruption of the ES,Species; Habitats; Soils and sediments; Minerals; Water; Land geomorphology,Maintenance of water chemical composition for healthy aquaculture and fisheries.,Very High,ES is critical & irreplaceable in PP,Species; Water,Climate regulation reduces or buffers negative climate impacts on aquaculture and fisheries,Very High,The PP is extremely vulnerable to disruption The degree of protection offered by the ES is critical & irreplaceable for the PP ,Habitats; Water; Atmosphere; Species; Soils and sediments, 
Consumer Staples,Brewers,Alcoholic fermentation and distilling,Water; Habitats; Soils and sediments; Land geomorphology; Atmosphere; Species; Ocean geomorphology,,,,,Maintaining optimal genetic resources for production,High,ES is critical & irreplaceable in PP ,Species,Water is required as an input in the production process,Very High,ES is critical & irreplaceable in PP,Water,Water is required as an input in the production process,Very High,ES is critical & irreplaceable in PP,Water,,,,,Detoxification of potential effluent in water and solid waste,Low,,Species; Habitats,,,,,Natural dilution of production sourced pollution to maintain air and water quality,Low,Most of the time the PP can take place even with full disruption of the ES ,Atmosphere; Ocean Geomorphology; Water,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,Water flow maintenance for production processes,Medium,Most of the time the PP can take place with limited (but not with full) disruption of the ES,Habitats; Water; Atmosphere,"Naturally occurring green infrastructure to protect against damages or disruption from natural hazards, such as floods and storms ",Medium,Most of the time the PP can take place with limited (but not with full) disruption of the ES due to the resilience of the PP to disruption,Habitats,,,,,,,,,,,,,,,,,,,,,To maintain soil quality for maintaining product tastes,Medium,"PP does not rely on the ES per se, but on other PPs (e.g. agriculture)",Species; Habitats; Soils and sediments; Minerals; Water; Land geomorphology,Maintenance of water chemical composition for production processes,Medium,"PP can take place with some disruption of the ES, but the high quantity of the ES required for the PP makes this a high risk",Species; Water,,,,, 
Consumer Staples,Distillers & Vintners,Alcoholic fermentation and distilling,Water; Habitats; Soils and sediments; Land geomorphology; Atmosphere; Species; Ocean geomorphology,,,,,Maintaining optimal genetic resources for production,High,ES is critical & irreplaceable in PP ,Species,Water is required as an input in the production process,Very High,ES is critical & irreplaceable in PP,Water,Water is required as an input in the production process,Very High,ES is critical & irreplaceable in PP,Water,,,,,Detoxification of potential effluent in water and solid waste,Low,,Species; Habitats,,,,,Natural dilution of production sourced pollution to maintain air and water quality,Low,Most of the time the PP can take place even with full disruption of the ES ,Atmosphere; Ocean Geomorphology; Water,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,Water flow maintenance for production processes,Medium,Most of the time the PP can take place with limited (but not with full) disruption of the ES,Habitats; Water; Atmosphere,"Naturally occurring green infrastructure to protect against damages or disruption from natural hazards, such as floods and storms ",Medium,Most of the time the PP can take place with limited (but not with full) disruption of the ES due to the resilience of the PP to disruption,Habitats,,,,,,,,,,,,,,,,,,,,,To maintain soil quality for maintaining product tastes,Medium,"PP does not rely on the ES per se, but on other PPs (e.g. agriculture)",Species; Habitats; Soils and sediments; Minerals; Water; Land geomorphology,Maintenance of water chemical composition for production processes,Medium,"PP can take place with some disruption of the ES, but the high quantity of the ES required for the PP makes this a high risk",Species; Water,,,,, 
Consumer Staples,Packaged Foods & Meats,Processed food and drink production,Water; Habitats; Soils and sediments; Land geomorphology; Atmosphere; Species; Ocean geomorphology,,,,,,,,,Water is required as an input in the production process,Very High,"PP can take place with some disruption of the ES, but the high quantity of the ES required for the PP makes this a high risk",Water,Water is required as an input in the production process,Very High, ES is critical & irreplaceable in PP,Water,,,,,Detoxification of potential effluent in water and solid waste,Low,,Species; Habitats,Detoxification of potential effluent in water and solid waste,Low,Most of the time the PP can take place even with full disruption of the ES ,Species; Habitats,Natural dilution of production sourced pollution to maintain air and water quality,Low,Most of the time the PP can take place even with full disruption of the ES ,Atmosphere; Ocean Geomorphology; Water,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,Water flow maintenance for production processes,Medium,Most of the time the PP can take place with limited (but not with full) disruption of the ES,Habitats; Water; Atmosphere,"Naturally occurring green infrastructure to protect against damages or disruption from natural hazards, such as floods and storms ",Medium,"Although less practical, PP can take place without the ES due to availability of protection substitutes",Habitats,,,,,,,,,,,,,,,,,,,,,Soil quality for maintaining product tastes,,"PP does not rely on the ES per se, but on other PPs (e.g. agriculture)",,Maintenance of water chemical composition for production processes,Medium,Most of the time the PP can take place with limited (but not with full) disruption of the ES,Species; Water,,,,, 
