Ecosystem service,Description,Benefit,Natural Capital Asset,Importance,Importance justification,Driver of change,Influence,Influence justification,Likely response,Effect on variability of ecosystem service provision,Human action or natural variation,Timescale,Spatial characteristics
Maintainenance of nursery habitats,"Nurseries are habitats that make a significantly high contribution to the reproduction of individuals from a particular species, where juveniles occur at higher densities, avoid predation more successfully, or grow faster than in other habitats. These are critical spaces for eggs, larvae, juveniles and sub-adults, providing food, shelter, space and pathways among habitats. Marine nurseries provide economic, health and recreational benefits. As most species use nursery areas during their life cycle, the majority of marine species of commercial and subsistence fishing rely on nursery areas to generate a variety of seafood products. Equally, recreational fishing and coastal tourism depend on these habitats. Specifically marine habitats, such as estuaries, shallow banks, coastal forests and wetlands, marshes, mangrove forests, coral and rock reefs, seamounts, macroalgae and seagrass meadows, and static portions of the ocean comprise marine nurseries. The underlying asset components of nurseries include: shallow waters in habitats such as saltmarshes that provide protection; the physico-chemical properties of water - nutrients such as carbon, phosphorus and nitrogen are produced in vast quantities by wetlands and sea grass and exported to other coastal food webs; disturbance and tidal regime; structural complexity and spatial pattern of the habitats providing protection from predation and increasing survivorship; underpinning of biotic communities: larval supply, predation, competition, food availability, community structure complexity; and water depth and quality. The minimum conditions needed to maintain nursery populations are healthy habitats, ocean currents providing linkages between habitats,
and adequate water quality, depth and nutrients. ",Food provision,Species,R,"There is a linear relationship between species and the maintenance of nursery populations and habitats, as they are directly linked. Nurseries are sensitive to changes in species populations and composition, as not only these provide food and protection (eg sea grass), adults from species of different taxa provide the eggs, larvae and juveniles which make up the system. These changes could be reversed if the natural habitats and species communities are restored, however for some species of low reproductive rates; this might need decades or centuries to recover from significant population depletions. Species are not substitutable for this services due to their central role in the system. There is low uncertainty in the relationship between maintaining nursery populations and habitats, and species because they are intrinsically linked.",Overfishing,A,"As with overhunting, overfishing has significant direct and indirect effects on the diversity, structure and productivity of benthic communities. The impact varies by location. Some species may be more resilient to overfishing than others, and this depends on the size of the species, intensity of fishing, life history strategy, habitat size and location. Overexploitation can also have unforeseen effects on biodiversity through trophic interactions among species in an ecosystem - both positive and negative. There is a fair amount of literature detailing this relationship, however there can be uncertainty over the sustainability of offtake rates and their potential impacts on wildlife population.",Physical destruction and alteration of the habitat.,"Habitat loss leads to disruption of connectivity between spawning, nursery and adultstage habitats. Dynamite destroys and kills habitats/organisms. Hydraulic dredging damages fauna and kills animals by heat. Seabed trawling creates turbidity, which kills larvae, eliminates coral and destroys nurseries.",Human action,Short-mid term,Local-Regional
Maintainenance of nursery habitats,"Nurseries are habitats that make a significantly high contribution to the reproduction of individuals from a particular species, where juveniles occur at higher densities, avoid predation more successfully, or grow faster than in other habitats. These are critical spaces for eggs, larvae, juveniles and sub-adults, providing food, shelter, space and pathways among habitats. Marine nurseries provide economic, health and recreational benefits. As most species use nursery areas during their life cycle, the majority of marine species of commercial and subsistence fishing rely on nursery areas to generate a variety of seafood products. Equally, recreational fishing and coastal tourism depend on these habitats. Specifically marine habitats, such as estuaries, shallow banks, coastal forests and wetlands, marshes, mangrove forests, coral and rock reefs, seamounts, macroalgae and seagrass meadows, and static portions of the ocean comprise marine nurseries. The underlying asset components of nurseries include: shallow waters in habitats such as saltmarshes that provide protection; the physico-chemical properties of water - nutrients such as carbon, phosphorus and nitrogen are produced in vast quantities by wetlands and sea grass and exported to other coastal food webs; disturbance and tidal regime; structural complexity and spatial pattern of the habitats providing protection from predation and increasing survivorship; underpinning of biotic communities: larval supply, predation, competition, food availability, community structure complexity; and water depth and quality. The minimum conditions needed to maintain nursery populations are healthy habitats, ocean currents providing linkages between habitats,
and adequate water quality, depth and nutrients. ",Food provision,Species,R,"There is a linear relationship between species and the maintenance of nursery populations and habitats, as they are directly linked. Nurseries are sensitive to changes in species populations and composition, as not only these provide food and protection (eg sea grass), adults from species of different taxa provide the eggs, larvae and juveniles which make up the system. These changes could be reversed if the natural habitats and species communities are restored, however for some species of low reproductive rates; this might need decades or centuries to recover from significant population depletions. Species are not substitutable for this services due to their central role in the system. There is low uncertainty in the relationship between maintaining nursery populations and habitats, and species because they are intrinsically linked.",Pollution,A,"Species distributions, abundance and dynamics are expected to worsen in the long term. Atmospheric deposition of reactive nitrogen has the potential to reduce plant species richness, through favouring species better adapted to high nutrient levels. Impacts of pollution on species varies by location and other external parameters, and there is medium uncertainty in this relationship.",Habitat loss due to overfertilization and toxics contamination,Habitat loss due to clouding of coastal waters by sediment from run-off and toxics which leads to contamination.,Human action,Short-mid term (depending on extent and intensity),Local-Regional
Maintainenance of nursery habitats,"Nurseries are habitats that make a significantly high contribution to the reproduction of individuals from a particular species, where juveniles occur at higher densities, avoid predation more successfully, or grow faster than in other habitats. These are critical spaces for eggs, larvae, juveniles and sub-adults, providing food, shelter, space and pathways among habitats. Marine nurseries provide economic, health and recreational benefits. As most species use nursery areas during their life cycle, the majority of marine species of commercial and subsistence fishing rely on nursery areas to generate a variety of seafood products. Equally, recreational fishing and coastal tourism depend on these habitats. Specifically marine habitats, such as estuaries, shallow banks, coastal forests and wetlands, marshes, mangrove forests, coral and rock reefs, seamounts, macroalgae and seagrass meadows, and static portions of the ocean comprise marine nurseries. The underlying asset components of nurseries include: shallow waters in habitats such as saltmarshes that provide protection; the physico-chemical properties of water - nutrients such as carbon, phosphorus and nitrogen are produced in vast quantities by wetlands and sea grass and exported to other coastal food webs; disturbance and tidal regime; structural complexity and spatial pattern of the habitats providing protection from predation and increasing survivorship; underpinning of biotic communities: larval supply, predation, competition, food availability, community structure complexity; and water depth and quality. The minimum conditions needed to maintain nursery populations are healthy habitats, ocean currents providing linkages between habitats,
and adequate water quality, depth and nutrients. ",Food provision,Species,R,"There is a linear relationship between species and the maintenance of nursery populations and habitats, as they are directly linked. Nurseries are sensitive to changes in species populations and composition, as not only these provide food and protection (eg sea grass), adults from species of different taxa provide the eggs, larvae and juveniles which make up the system. These changes could be reversed if the natural habitats and species communities are restored, however for some species of low reproductive rates; this might need decades or centuries to recover from significant population depletions. Species are not substitutable for this services due to their central role in the system. There is low uncertainty in the relationship between maintaining nursery populations and habitats, and species because they are intrinsically linked.",Storms,A,"Storm frequency and intensity is predicted to continue in alignment with current anthropogenically induced climate change. It is well documented that strong winds and increased rainfall can subject species to biogenic habitat changes, nest destruction, invasive species introduction and saltwater intrusion, negatively impacting species survival in localised event contexts. Species that are highly susceptible are those that cannot shelter from wind effectively, that are liable to flooding, subject to habitat displacement (e.g. sand dune burrows), and migrating species. Historical records provide a degree of certainty that an increase in storm intensity and frequency will have an negative impact on many species overall, however, some species may benefit in the short term from storm activity, for example scavengers such as raccoons have been shown to benefit from storms. ","Affects health of ecosystems, leads to altered ocean current and water runoff changes.","Changes in storm patterns leads to destruction of structures. Changes in precipitation create increases in runoff of freshwater, and land based pollutants.",Human action / Natural variation,Short-mid-long term,Local-Regional-Global
Maintainenance of nursery habitats,"Nurseries are habitats that make a significantly high contribution to the reproduction of individuals from a particular species, where juveniles occur at higher densities, avoid predation more successfully, or grow faster than in other habitats. These are critical spaces for eggs, larvae, juveniles and sub-adults, providing food, shelter, space and pathways among habitats. Marine nurseries provide economic, health and recreational benefits. As most species use nursery areas during their life cycle, the majority of marine species of commercial and subsistence fishing rely on nursery areas to generate a variety of seafood products. Equally, recreational fishing and coastal tourism depend on these habitats. Specifically marine habitats, such as estuaries, shallow banks, coastal forests and wetlands, marshes, mangrove forests, coral and rock reefs, seamounts, macroalgae and seagrass meadows, and static portions of the ocean comprise marine nurseries. The underlying asset components of nurseries include: shallow waters in habitats such as saltmarshes that provide protection; the physico-chemical properties of water - nutrients such as carbon, phosphorus and nitrogen are produced in vast quantities by wetlands and sea grass and exported to other coastal food webs; disturbance and tidal regime; structural complexity and spatial pattern of the habitats providing protection from predation and increasing survivorship; underpinning of biotic communities: larval supply, predation, competition, food availability, community structure complexity; and water depth and quality. The minimum conditions needed to maintain nursery populations are healthy habitats, ocean currents providing linkages between habitats,
and adequate water quality, depth and nutrients. ",Food provision,Water,A,"There is a linear relationship between water and the maintenance of nursery populations and habitats, as the service is directly dependent on this asset. The service is sensitive to changes in water quality, properties or provision can cause habitat and species loss, resulting in reduction or cessation of the service. If the natural conditions are restored, changes in the asset may be reversed, however for some nursery species of low reproductive rates; this might need decades to recover from habitat loss and population depletion. Water is not substitutable for any other asset of this service. There is low uncertainty in the relationship between water and the maintenance of nursery populations because they are innately linked.",Habitat modification,R,"Habitat modification changes the use and distribution of water - the systems are fairly susceptible to change. Agriculture results in irrigation and pesticide use - causing changes to the level of groundwater and surface water provision, and water quality. Urbanisation causes changes to drainage - resulting in flooding. Stream ecosystems are impacted negatively by dams and weirs, as well as a lack of in-stream structural diversity, channelisation and an increased introduction of fine sediments from the catchments due to changes in land use. Increasing pressures from economic development will see further changes to habitats within the long term. Each catchment and water system is different, and will have different levels of resilience to change, however these changes are fairly well discussed in the literature. ",Freshwater diversion from estuarine areas,"Habitat loss leads to disruption of connectivity between spawning, nursery and adultstage habitats.",Human action,Short-mid term,Local-Regional
Maintainenance of nursery habitats,"Nurseries are habitats that make a significantly high contribution to the reproduction of individuals from a particular species, where juveniles occur at higher densities, avoid predation more successfully, or grow faster than in other habitats. These are critical spaces for eggs, larvae, juveniles and sub-adults, providing food, shelter, space and pathways among habitats. Marine nurseries provide economic, health and recreational benefits. As most species use nursery areas during their life cycle, the majority of marine species of commercial and subsistence fishing rely on nursery areas to generate a variety of seafood products. Equally, recreational fishing and coastal tourism depend on these habitats. Specifically marine habitats, such as estuaries, shallow banks, coastal forests and wetlands, marshes, mangrove forests, coral and rock reefs, seamounts, macroalgae and seagrass meadows, and static portions of the ocean comprise marine nurseries. The underlying asset components of nurseries include: shallow waters in habitats such as saltmarshes that provide protection; the physico-chemical properties of water - nutrients such as carbon, phosphorus and nitrogen are produced in vast quantities by wetlands and sea grass and exported to other coastal food webs; disturbance and tidal regime; structural complexity and spatial pattern of the habitats providing protection from predation and increasing survivorship; underpinning of biotic communities: larval supply, predation, competition, food availability, community structure complexity; and water depth and quality. The minimum conditions needed to maintain nursery populations are healthy habitats, ocean currents providing linkages between habitats,
and adequate water quality, depth and nutrients. ",Food provision,Water,A,"There is a linear relationship between water and the maintenance of nursery populations and habitats, as the service is directly dependent on this asset. The service is sensitive to changes in water quality, properties or provision can cause habitat and species loss, resulting in reduction or cessation of the service. If the natural conditions are restored, changes in the asset may be reversed, however for some nursery species of low reproductive rates; this might need decades to recover from habitat loss and population depletion. Water is not substitutable for any other asset of this service. There is low uncertainty in the relationship between water and the maintenance of nursery populations because they are innately linked.",Industrial or domestic activities,R,"Demand for water will increase as a result of continued development pressures - unless water assets are appropriately managed this will see changes to level of service provision. Similarly to construction, industrial or domestic activities are also expected to increase over the next 5 years as a response to economic development and population growth - these activities will continue to have an impact on water. Water abstraction can be unsustainable, and water systems and communities are highly susceptible to impacts from such activities. The extent of industrial or domestic activities vary, as do the impact upon water systems - however, such impacts are well documented.","Water quality, depth, turbidity, salinity and nutrient changes will lead to changes in plant community structure and health, and decreases or disappearance of biotic communities and habitat health and complexity.","Habitat loss leads to disruption of connectivity between spawning, nursery and adultstage habitats. Displacement or local extinction of adult populations, disrupting spawning patterns. Sedimentation due to shipping activity reduces light penetration, settlement success, survival, and diversity of habitats such as coral.",Human action,Short term,Local
Maintainenance of nursery habitats,"Nurseries are habitats that make a significantly high contribution to the reproduction of individuals from a particular species, where juveniles occur at higher densities, avoid predation more successfully, or grow faster than in other habitats. These are critical spaces for eggs, larvae, juveniles and sub-adults, providing food, shelter, space and pathways among habitats. Marine nurseries provide economic, health and recreational benefits. As most species use nursery areas during their life cycle, the majority of marine species of commercial and subsistence fishing rely on nursery areas to generate a variety of seafood products. Equally, recreational fishing and coastal tourism depend on these habitats. Specifically marine habitats, such as estuaries, shallow banks, coastal forests and wetlands, marshes, mangrove forests, coral and rock reefs, seamounts, macroalgae and seagrass meadows, and static portions of the ocean comprise marine nurseries. The underlying asset components of nurseries include: shallow waters in habitats such as saltmarshes that provide protection; the physico-chemical properties of water - nutrients such as carbon, phosphorus and nitrogen are produced in vast quantities by wetlands and sea grass and exported to other coastal food webs; disturbance and tidal regime; structural complexity and spatial pattern of the habitats providing protection from predation and increasing survivorship; underpinning of biotic communities: larval supply, predation, competition, food availability, community structure complexity; and water depth and quality. The minimum conditions needed to maintain nursery populations are healthy habitats, ocean currents providing linkages between habitats,
and adequate water quality, depth and nutrients. ",Food provision,Water,A,"There is a linear relationship between water and the maintenance of nursery populations and habitats, as the service is directly dependent on this asset. The service is sensitive to changes in water quality, properties or provision can cause habitat and species loss, resulting in reduction or cessation of the service. If the natural conditions are restored, changes in the asset may be reversed, however for some nursery species of low reproductive rates; this might need decades to recover from habitat loss and population depletion. Water is not substitutable for any other asset of this service. There is low uncertainty in the relationship between water and the maintenance of nursery populations because they are innately linked.",Intensive agriculture and aquaculture,R,"A high proportion of pollution originates from agricultural sources, due to reduction in industrial effluent and an increase in agricultural intensification. Agricultural intensification releases nutrients (through soil management and fertilisers) and other chemicals (e.g. pesticides) into water courses, through biological contamination (e.g. from bacteria in manure) and through soil runoff. Aquaculture can have an impact on waterbodies, through waste products, food surpluses and drug residuals. The majority of aquaculture practices have had few adverse effects on ecosystems. However, there are a few examples of environmental degradation due to intensive cage culture operations and some shrimp farming practices. This trend for intensive agriculture and aquaculture is anticipated to worsen in the long term, due to food pressures related to an increasing population, with water sources being fairly susceptible to impacts. Water courses and systems vary by location, however the impacts on the system are fairly certain.",Overfertilization and nutrient enrichment lead to algal overgrowth and loss in cover and diversity of habitats.,"Habitat loss leads to disruption of connectivity between spawning, nursery and adultstage habitats.",Human action,Short-mid term,Local-Regional
Maintainenance of nursery habitats,"Nurseries are habitats that make a significantly high contribution to the reproduction of individuals from a particular species, where juveniles occur at higher densities, avoid predation more successfully, or grow faster than in other habitats. These are critical spaces for eggs, larvae, juveniles and sub-adults, providing food, shelter, space and pathways among habitats. Marine nurseries provide economic, health and recreational benefits. As most species use nursery areas during their life cycle, the majority of marine species of commercial and subsistence fishing rely on nursery areas to generate a variety of seafood products. Equally, recreational fishing and coastal tourism depend on these habitats. Specifically marine habitats, such as estuaries, shallow banks, coastal forests and wetlands, marshes, mangrove forests, coral and rock reefs, seamounts, macroalgae and seagrass meadows, and static portions of the ocean comprise marine nurseries. The underlying asset components of nurseries include: shallow waters in habitats such as saltmarshes that provide protection; the physico-chemical properties of water - nutrients such as carbon, phosphorus and nitrogen are produced in vast quantities by wetlands and sea grass and exported to other coastal food webs; disturbance and tidal regime; structural complexity and spatial pattern of the habitats providing protection from predation and increasing survivorship; underpinning of biotic communities: larval supply, predation, competition, food availability, community structure complexity; and water depth and quality. The minimum conditions needed to maintain nursery populations are healthy habitats, ocean currents providing linkages between habitats,
and adequate water quality, depth and nutrients. ",Food provision,Water,A,"There is a linear relationship between water and the maintenance of nursery populations and habitats, as the service is directly dependent on this asset. The service is sensitive to changes in water quality, properties or provision can cause habitat and species loss, resulting in reduction or cessation of the service. If the natural conditions are restored, changes in the asset may be reversed, however for some nursery species of low reproductive rates; this might need decades to recover from habitat loss and population depletion. Water is not substitutable for any other asset of this service. There is low uncertainty in the relationship between water and the maintenance of nursery populations because they are innately linked.",Invasive species,R,"Invasive non-native species degrade a number of ecosystem services, causing impacts to the ecology, human health and the economy. Water quality and quantity are affected by the flora and fauna that live in or near to aquatic habitats - and competitive invasive species introduced into water systems can affect interactions, resulting in declines in native species and degradation of water quality. Increases in human movement, and transportation of goods will see increases in outbreaks of invasive species. Water systems are highly susceptible to the impacts of invasive species. Water systems vary by location, as such impacts will also vary. There is medium uncertainty over future impacts of invasive species on water habitats and ecosystems.",Displacement or local extinction of biotic communities.,"Alien species altering ecology of system, e.g. displacing relevant species to maintain services.",Human action,Short-mid term (depending on level of disturbance of invasive species),Local
Maintainenance of nursery habitats,"Nurseries are habitats that make a significantly high contribution to the reproduction of individuals from a particular species, where juveniles occur at higher densities, avoid predation more successfully, or grow faster than in other habitats. These are critical spaces for eggs, larvae, juveniles and sub-adults, providing food, shelter, space and pathways among habitats. Marine nurseries provide economic, health and recreational benefits. As most species use nursery areas during their life cycle, the majority of marine species of commercial and subsistence fishing rely on nursery areas to generate a variety of seafood products. Equally, recreational fishing and coastal tourism depend on these habitats. Specifically marine habitats, such as estuaries, shallow banks, coastal forests and wetlands, marshes, mangrove forests, coral and rock reefs, seamounts, macroalgae and seagrass meadows, and static portions of the ocean comprise marine nurseries. The underlying asset components of nurseries include: shallow waters in habitats such as saltmarshes that provide protection; the physico-chemical properties of water - nutrients such as carbon, phosphorus and nitrogen are produced in vast quantities by wetlands and sea grass and exported to other coastal food webs; disturbance and tidal regime; structural complexity and spatial pattern of the habitats providing protection from predation and increasing survivorship; underpinning of biotic communities: larval supply, predation, competition, food availability, community structure complexity; and water depth and quality. The minimum conditions needed to maintain nursery populations are healthy habitats, ocean currents providing linkages between habitats,
and adequate water quality, depth and nutrients. ",Food provision,Water,A,"There is a linear relationship between water and the maintenance of nursery populations and habitats, as the service is directly dependent on this asset. The service is sensitive to changes in water quality, properties or provision can cause habitat and species loss, resulting in reduction or cessation of the service. If the natural conditions are restored, changes in the asset may be reversed, however for some nursery species of low reproductive rates; this might need decades to recover from habitat loss and population depletion. Water is not substitutable for any other asset of this service. There is low uncertainty in the relationship between water and the maintenance of nursery populations because they are innately linked.",Ocean acidification,R,"Water assets are anticipated to alter within the next 5 years, as a consequence of population growth and impacts from climate change. Ocean acidification will alter water resources provided by oceans, such as changes to species distributions and abundance of marine taxa. Water assets have a low susceptibility to the impacts from ocean acidification. Any impacts will vary by location, however there is little scientific literature on impacts, and as such there is a medium level of uncertainty.  ","Affects health of ecosystems, alters ocean currents and changes biotic communities.","Warming and acidification ocean creates thermal stress (e.g. coral bleaching), sea level rise, sedimentation, Altered ocean currents lead to changes in connectivity and temperature regimes. Ocean acidification leads to a reduction in pH levels and decreases growth rates.",Human action / Natural variation,Short-mid-long term,Local-Regional-Global
Maintainenance of nursery habitats,"Nurseries are habitats that make a significantly high contribution to the reproduction of individuals from a particular species, where juveniles occur at higher densities, avoid predation more successfully, or grow faster than in other habitats. These are critical spaces for eggs, larvae, juveniles and sub-adults, providing food, shelter, space and pathways among habitats. Marine nurseries provide economic, health and recreational benefits. As most species use nursery areas during their life cycle, the majority of marine species of commercial and subsistence fishing rely on nursery areas to generate a variety of seafood products. Equally, recreational fishing and coastal tourism depend on these habitats. Specifically marine habitats, such as estuaries, shallow banks, coastal forests and wetlands, marshes, mangrove forests, coral and rock reefs, seamounts, macroalgae and seagrass meadows, and static portions of the ocean comprise marine nurseries. The underlying asset components of nurseries include: shallow waters in habitats such as saltmarshes that provide protection; the physico-chemical properties of water - nutrients such as carbon, phosphorus and nitrogen are produced in vast quantities by wetlands and sea grass and exported to other coastal food webs; disturbance and tidal regime; structural complexity and spatial pattern of the habitats providing protection from predation and increasing survivorship; underpinning of biotic communities: larval supply, predation, competition, food availability, community structure complexity; and water depth and quality. The minimum conditions needed to maintain nursery populations are healthy habitats, ocean currents providing linkages between habitats,
and adequate water quality, depth and nutrients. ",Food provision,Water,A,"There is a linear relationship between water and the maintenance of nursery populations and habitats, as the service is directly dependent on this asset. The service is sensitive to changes in water quality, properties or provision can cause habitat and species loss, resulting in reduction or cessation of the service. If the natural conditions are restored, changes in the asset may be reversed, however for some nursery species of low reproductive rates; this might need decades to recover from habitat loss and population depletion. Water is not substitutable for any other asset of this service. There is low uncertainty in the relationship between water and the maintenance of nursery populations because they are innately linked.",Ocean current and circulation,A,"Water assets are anticipated to alter within the next 5 years, as a consequence of population growth and impacts from climate change. Ocean currents and circulation affect water resources provided by oceans. Salinity and temperature determine the density of ocean water, and density influences the circulation. The impact of ocean currents on water assets is relatively minor, and will vary by location. There is low uncertainty in this relationship.","Affects health of ecosystems, alters ocean currents and changes biotic communities.","Warming and acidification ocean creates thermal stress (e.g. coral bleaching), sea level rise, sedimentation, Altered ocean currents lead to changes in connectivity and temperature regimes. Ocean acidification leads to a reduction in pH levels and decreases growth rates.",Human action / Natural variation,Short-mid-long term,Local-Regional-Global
Maintainenance of nursery habitats,"Nurseries are habitats that make a significantly high contribution to the reproduction of individuals from a particular species, where juveniles occur at higher densities, avoid predation more successfully, or grow faster than in other habitats. These are critical spaces for eggs, larvae, juveniles and sub-adults, providing food, shelter, space and pathways among habitats. Marine nurseries provide economic, health and recreational benefits. As most species use nursery areas during their life cycle, the majority of marine species of commercial and subsistence fishing rely on nursery areas to generate a variety of seafood products. Equally, recreational fishing and coastal tourism depend on these habitats. Specifically marine habitats, such as estuaries, shallow banks, coastal forests and wetlands, marshes, mangrove forests, coral and rock reefs, seamounts, macroalgae and seagrass meadows, and static portions of the ocean comprise marine nurseries. The underlying asset components of nurseries include: shallow waters in habitats such as saltmarshes that provide protection; the physico-chemical properties of water - nutrients such as carbon, phosphorus and nitrogen are produced in vast quantities by wetlands and sea grass and exported to other coastal food webs; disturbance and tidal regime; structural complexity and spatial pattern of the habitats providing protection from predation and increasing survivorship; underpinning of biotic communities: larval supply, predation, competition, food availability, community structure complexity; and water depth and quality. The minimum conditions needed to maintain nursery populations are healthy habitats, ocean currents providing linkages between habitats,
and adequate water quality, depth and nutrients. ",Food provision,Water,A,"There is a linear relationship between water and the maintenance of nursery populations and habitats, as the service is directly dependent on this asset. The service is sensitive to changes in water quality, properties or provision can cause habitat and species loss, resulting in reduction or cessation of the service. If the natural conditions are restored, changes in the asset may be reversed, however for some nursery species of low reproductive rates; this might need decades to recover from habitat loss and population depletion. Water is not substitutable for any other asset of this service. There is low uncertainty in the relationship between water and the maintenance of nursery populations because they are innately linked.",Pollution,R,"Pollution causes severe changes to water quality, which has a detrimental effect on aquatic ecosystems, ground water, and can be a threat to human health. It can cause changes to water quality parameters, such as Dissolved Oxygen, pH, Chemical Oxygen Demand, Total Suspendid Solids, and temperature, as well as altering water supply. Increased industrialisation and agriculture, will lead to increased instances of point source and non-point source pollution incidents. Nutrient offsetting, Payment for Ecosystem Services schemes and other incentives are in place in many regions, to attempt to reduce pollution into water courses. Pollution impacts vary by water course, however the potential impacts are well researched.",Habitat loss due to overfertilization and toxics contamination,Habitat loss due to clouding of coastal waters by sediment from run-off and toxics which leads to contamination.,Human action,Short-mid term (depending on extent and intensity),Local-Regional
Maintainenance of nursery habitats,"Nurseries are habitats that make a significantly high contribution to the reproduction of individuals from a particular species, where juveniles occur at higher densities, avoid predation more successfully, or grow faster than in other habitats. These are critical spaces for eggs, larvae, juveniles and sub-adults, providing food, shelter, space and pathways among habitats. Marine nurseries provide economic, health and recreational benefits. As most species use nursery areas during their life cycle, the majority of marine species of commercial and subsistence fishing rely on nursery areas to generate a variety of seafood products. Equally, recreational fishing and coastal tourism depend on these habitats. Specifically marine habitats, such as estuaries, shallow banks, coastal forests and wetlands, marshes, mangrove forests, coral and rock reefs, seamounts, macroalgae and seagrass meadows, and static portions of the ocean comprise marine nurseries. The underlying asset components of nurseries include: shallow waters in habitats such as saltmarshes that provide protection; the physico-chemical properties of water - nutrients such as carbon, phosphorus and nitrogen are produced in vast quantities by wetlands and sea grass and exported to other coastal food webs; disturbance and tidal regime; structural complexity and spatial pattern of the habitats providing protection from predation and increasing survivorship; underpinning of biotic communities: larval supply, predation, competition, food availability, community structure complexity; and water depth and quality. The minimum conditions needed to maintain nursery populations are healthy habitats, ocean currents providing linkages between habitats,
and adequate water quality, depth and nutrients. ",Food provision,Water,A,"There is a linear relationship between water and the maintenance of nursery populations and habitats, as the service is directly dependent on this asset. The service is sensitive to changes in water quality, properties or provision can cause habitat and species loss, resulting in reduction or cessation of the service. If the natural conditions are restored, changes in the asset may be reversed, however for some nursery species of low reproductive rates; this might need decades to recover from habitat loss and population depletion. Water is not substitutable for any other asset of this service. There is low uncertainty in the relationship between water and the maintenance of nursery populations because they are innately linked.",Sea level rise,A,"Water assets are anticipated to alter within the next 5 years, as a consequence of population growth and impacts from climate change. Sea level rise will see sea water intrusion (or salt water intrusion) - which is the encroachment of saline water into fresh ground water regions in coastal aquifer settings, which can have a detimental effect on the provision of water. Each system is unique, and as such there is variability amongst the interactions between water and sea level rise. The topic is fairly well researched, however, uncertainty still remains in future impacts.","Affects health of ecosystems, alters ocean currents and changes biotic communities.","Warming and acidification ocean creates thermal stress (e.g. coral bleaching), sea level rise, sedimentation, Altered ocean currents lead to changes in connectivity and temperature regimes. Ocean acidification leads to a reduction in pH levels and decreases growth rates.",Human action / Natural variation,Short-mid-long term,Local-Regional-Global
Maintainenance of nursery habitats,"Nurseries are habitats that make a significantly high contribution to the reproduction of individuals from a particular species, where juveniles occur at higher densities, avoid predation more successfully, or grow faster than in other habitats. These are critical spaces for eggs, larvae, juveniles and sub-adults, providing food, shelter, space and pathways among habitats. Marine nurseries provide economic, health and recreational benefits. As most species use nursery areas during their life cycle, the majority of marine species of commercial and subsistence fishing rely on nursery areas to generate a variety of seafood products. Equally, recreational fishing and coastal tourism depend on these habitats. Specifically marine habitats, such as estuaries, shallow banks, coastal forests and wetlands, marshes, mangrove forests, coral and rock reefs, seamounts, macroalgae and seagrass meadows, and static portions of the ocean comprise marine nurseries. The underlying asset components of nurseries include: shallow waters in habitats such as saltmarshes that provide protection; the physico-chemical properties of water - nutrients such as carbon, phosphorus and nitrogen are produced in vast quantities by wetlands and sea grass and exported to other coastal food webs; disturbance and tidal regime; structural complexity and spatial pattern of the habitats providing protection from predation and increasing survivorship; underpinning of biotic communities: larval supply, predation, competition, food availability, community structure complexity; and water depth and quality. The minimum conditions needed to maintain nursery populations are healthy habitats, ocean currents providing linkages between habitats,
and adequate water quality, depth and nutrients. ",Food provision,Water,A,"There is a linear relationship between water and the maintenance of nursery populations and habitats, as the service is directly dependent on this asset. The service is sensitive to changes in water quality, properties or provision can cause habitat and species loss, resulting in reduction or cessation of the service. If the natural conditions are restored, changes in the asset may be reversed, however for some nursery species of low reproductive rates; this might need decades to recover from habitat loss and population depletion. Water is not substitutable for any other asset of this service. There is low uncertainty in the relationship between water and the maintenance of nursery populations because they are innately linked.",Storms,R,"Storm runoff events affect the water quality of reservoirs and increase risks to the water supply. Stormwater enters reservoirs, causing turbid and anoxic conditions - reducing water quality. It is predicted that the frequency of extreme rainfall events will occur more frequently in the future. Water systems vary by location, as such impacts vary. The relationship between storm events and water supply is less well developed.","Affects health of ecosystems, leads to altered ocean current and water runoff changes.","Changes in storm patterns leads to destruction of structures. Changes in precipitation create increases in runoff of freshwater, and land based pollutants.",Human action / Natural variation,Short-mid-long term,Local-Regional-Global
