Process,Ecosystem Service,RAG,Justification
Large-scale irrigated arable crops,Buffering and attenuation of mass flows,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale irrigated arable crops,Dilution by atmosphere and ecosystems,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Large-scale irrigated arable crops,Bio-remediation,H,Ecosystem service is critical and irreplaceable in production process 
Large-scale irrigated arable crops,Filtration,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
Large-scale irrigated arable crops,Animal-based energy,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Large-scale irrigated arable crops,Surface water,H,Ecosystem service is critical and irreplaceable in production process 
Large-scale irrigated arable crops,Ground water,H,Ecosystem service is critical and irreplaceable in production process 
Large-scale irrigated arable crops,Genetic materials,H,Ecosystem service is critical and irreplaceable in production process 
Large-scale irrigated arable crops,Fibres and other materials,M,"Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service

 Although less practical, production process can take place without the ecosystem service due to availability of substitutes
"
Large-scale livestock (beef and dairy),Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Large-scale livestock (beef and dairy),Water quality,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Large-scale livestock (beef and dairy),Soil quality,L,Most of the time the production process can take place even with full disruption of the ecosystem service
Large-scale livestock (beef and dairy),Disease control,M,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Large-scale livestock (beef and dairy),Pest control,L,Most of the time the production process can take place even with full disruption of the ecosystem service
Large-scale livestock (beef and dairy),Pollination,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Large-scale livestock (beef and dairy),Ventilation,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Large-scale livestock (beef and dairy),Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Large-scale livestock (beef and dairy),Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Large-scale livestock (beef and dairy),Mass stabilisation and erosion control,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Large-scale livestock (beef and dairy),Buffering and attenuation of mass flows,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Large-scale livestock (beef and dairy),Mediation of sensory impacts,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Large-scale livestock (beef and dairy),Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Large-scale livestock (beef and dairy),Bio-remediation,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
Large-scale livestock (beef and dairy),Filtration,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
Large-scale livestock (beef and dairy),Surface water,H,Ecosystem service is critical and irreplaceable in production process 
Large-scale livestock (beef and dairy),Ground water,H,Ecosystem service is critical and irreplaceable in production process 
Large-scale livestock (beef and dairy),Genetic materials,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Large-scale livestock (beef and dairy),Fibres and other materials,H,"Ecosystem service is critical and irreplaceable in production process. Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Large-scale rainfed arable crops,Climate regulation,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale rainfed arable crops,Water quality,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Large-scale rainfed arable crops,Soil quality,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Large-scale rainfed arable crops,Disease control,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale rainfed arable crops,Pest control,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale rainfed arable crops,Pollination,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Large-scale rainfed arable crops,Ventilation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Large-scale rainfed arable crops,Flood and storm protection,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale rainfed arable crops,Water flow maintenance,H,Ecosystem service is critical and irreplaceable in production process
Large-scale rainfed arable crops,Mass stabilisation and erosion control,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale rainfed arable crops,Buffering and attenuation of mass flows,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale rainfed arable crops,Dilution by atmosphere and ecosystems,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
Large-scale rainfed arable crops,Bio-remediation,H,Ecosystem service is critical and irreplaceable in production process 
Large-scale rainfed arable crops,Filtration,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
Large-scale rainfed arable crops,Animal-based energy,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Large-scale rainfed arable crops,Surface water,M,"Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service. Although less practical, production process can take place without the ecosystem service due to availability of substitutes
"
Large-scale rainfed arable crops,Genetic materials,H,Ecosystem service is critical and irreplaceable in production process 
Large-scale rainfed arable crops,Fibres and other materials,M,"Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service

 Although less practical, production process can take place without the ecosystem service due to availability of substitutes
"
Leisure facility provision,Water quality,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Leisure facility provision,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Leisure facility provision,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Leisure facility provision,Surface water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Leisure facility provision,Ground water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
"Life science, pharma and biotech manufacture",Water quality,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
"Life science, pharma and biotech manufacture",Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
"Life science, pharma and biotech manufacture",Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
"Life science, pharma and biotech manufacture",Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
"Life science, pharma and biotech manufacture",Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
"Life science, pharma and biotech manufacture",Surface water,H,Ecosystem service is critical and irreplaceable in production process 
"Life science, pharma and biotech manufacture",Ground water,M,"Most of the time the production process can take place with
limited (but not with full) disruption of the
ecosystem service"
"Life science, pharma and biotech manufacture",Genetic materials,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
"Life science, pharma and biotech tools and services",Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
"Life science, pharma and biotech tools and services",Surface water,H,Ecosystem service is critical and irreplaceable in production process 
"Life science, pharma and biotech tools and services",Ground water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Managed health care,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
"Manufacture of life science, pharma and health care equipment",Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
"Manufacture of life science, pharma and health care equipment",Surface water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
"Manufacture of life science, pharma and health care equipment",Surface water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
"Manufacture of life science, pharma and health care equipment",Ground water,M,"Most of the time the production process can take place with
limited (but not with full) disruption of the
ecosystem service"
"Manufacture of life science, pharma and health care equipment",Ground water,M,"Most of the time the production process can take place with
limited (but not with full) disruption of the
ecosystem service"
"Manufacture of machinery, parts and equipment",Climate regulation,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
"Manufacture of machinery, parts and equipment",Water quality,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
"Manufacture of machinery, parts and equipment",Ventilation,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
"Manufacture of machinery, parts and equipment",Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
"Manufacture of machinery, parts and equipment",Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
"Manufacture of machinery, parts and equipment",Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
"Manufacture of machinery, parts and equipment",Mediation of sensory impacts,M,Most of the time the production process can take place even with full disruption of the ecosystem service 
"Manufacture of machinery, parts and equipment",Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
"Manufacture of machinery, parts and equipment",Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
"Manufacture of machinery, parts and equipment",Surface water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
"Manufacture of machinery, parts and equipment",Surface water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
"Manufacture of machinery, parts and equipment",Surface water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
"Manufacture of machinery, parts and equipment",Surface water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
"Manufacture of machinery, parts and equipment",Ground water,M,"Most of the time the production process can take place with
limited (but not with full) disruption of the
ecosystem service"
"Manufacture of machinery, parts and equipment",Ground water,M,"Most of the time the production process can take place with
limited (but not with full) disruption of the
ecosystem service"
"Manufacture of machinery, parts and equipment",Ground water,M,"Most of the time the production process can take place with
limited (but not with full) disruption of the
ecosystem service"
"Manufacture of machinery, parts and equipment",Ground water,M,"Most of the time the production process can take place with
limited (but not with full) disruption of the
ecosystem service"
"Manufacture of machinery, parts and equipment",Ground water,M,"Most of the time the production process can take place with
limited (but not with full) disruption of the
ecosystem service"
Manufacture of semiconductor equipment,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Marine ports and services,Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Marine ports and services,Water quality,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Marine ports and services,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Marine ports and services,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Marine ports and services,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Marine ports and services,Surface water,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Marine ports and services,Ground water,M,"Most of the time the production process can take place with
limited (but not with full) disruption of the
ecosystem service"
Marine transportation,Climate regulation,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Marine transportation,Water quality,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Marine transportation,Flood and storm protection,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Marine transportation,Surface water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Marine transportation,Ground water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Membrane technology,Climate regulation,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Membrane technology,Water quality,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Membrane technology,Ventilation,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Membrane technology,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Membrane technology,Water flow maintenance,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Membrane technology,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Membrane technology,Mediation of sensory impacts,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Membrane technology,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Membrane technology,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Membrane technology,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Membrane technology,Surface water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Membrane technology,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Metal processing,Climate regulation,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Metal processing,Water quality,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Metal processing,Ventilation,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Metal processing,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Metal processing,Water flow maintenance,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Metal processing,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Metal processing,Mediation of sensory impacts,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Metal processing,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Metal processing,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Metal processing,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Metal processing,Surface water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Metal processing,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Mining,Climate regulation,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Mining,Water flow maintenance,H,Ecosystem service is critical and irreplaceable in production process
Mining,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Mining,Surface water,H,Ecosystem service is critical and irreplaceable in production process
Mining,Surface water,H,Ecosystem service is critical and irreplaceable in production process
Mining,Ground water,H,Ecosystem service is critical and irreplaceable in production process 
Natural fibre production,Water quality,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes
"
Natural fibre production,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Natural fibre production,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Natural fibre production,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Natural fibre production,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Natural fibre production,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Natural fibre production,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Natural fibre production,Surface water,H,Ecosystem service is critical and irreplaceable in production process
Natural fibre production,Ground water,H,Ecosystem service is critical and irreplaceable in production process 
Natural fibre production,Fibres and other materials,M,"Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service

 Although less practical, production process can take place without the ecosystem service due to availability of substitutes
"
Natural gas combustion,Climate regulation,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Natural gas combustion,Water quality,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Natural gas combustion,Ventilation,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Natural gas combustion,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Natural gas combustion,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Natural gas combustion,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Natural gas combustion,Mediation of sensory impacts,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Natural gas combustion,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Natural gas combustion,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Natural gas combustion,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Natural gas combustion,Surface water,H,Ecosystem service is critical and irreplaceable in production process
Natural gas combustion,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Nuclear and thermal power stations,Climate regulation,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Nuclear and thermal power stations,Water quality,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Nuclear and thermal power stations,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Nuclear and thermal power stations,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Nuclear and thermal power stations,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Nuclear and thermal power stations,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Nuclear and thermal power stations,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Nuclear and thermal power stations,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Nuclear and thermal power stations,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Nuclear and thermal power stations,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Nuclear and thermal power stations,Surface water,H,Ecosystem service is critical and irreplaceable in production process
Nuclear and thermal power stations,Ground water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Oil and gas drilling,Climate regulation,L,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Oil and gas drilling,Flood and storm protection,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Oil and gas drilling,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Oil and gas drilling,Bio-remediation,L,"Production process can take place with some disruption of the ecosystem service, but the high quantity of impact mitigation required for the production process makes this a high risk"
Oil and gas drilling,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Oil and gas drilling,Surface water,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Oil and gas drilling,Ground water,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Oil and gas exploration surveys,Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Oil and gas exploration surveys,Flood and storm protection,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Oil and gas exploration surveys,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Oil and gas refining,Climate regulation,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Oil and gas refining,Water quality,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Oil and gas refining,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Oil and gas refining,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Oil and gas refining,Bio-remediation,L,"Production process can take place with some disruption of the ecosystem service, but the high quantity of impact mitigation required for the production process makes this a high risk"
Oil and gas refining,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Oil and gas refining,Surface water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Oil and gas refining,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Oil and gas services,Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Oil and gas storage,Climate regulation,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Oil and gas storage,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Oil and gas storage,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Oil and gas transportation,Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Oil and gas transportation,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Oil and gas transportation,Mass stabilisation and erosion control,H,The production process is extremely vulnerable to disruption 
Paper packaging production,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Paper packaging production,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Polymerization,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Polymerization,Mediation of sensory impacts,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Polymerization,Surface water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Polymerization,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Processed food and drink production,Water quality,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Processed food and drink production,Soil quality,L,"Production process does not rely on the ecosystem service per se, but on other production processes (e.g. agriculture)"
Processed food and drink production,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Processed food and drink production,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Processed food and drink production,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Processed food and drink production,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Processed food and drink production,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Processed food and drink production,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Processed food and drink production,Surface water,H,Ecosystem service is critical and irreplaceable in production process
Processed food and drink production,Ground water,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Processed food and drink production,Ground water,H,Ecosystem service is critical and irreplaceable in production process 
Production of forest and wood-based products,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Production of forest and wood-based products,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Production of forest and wood-based products,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Production of forest and wood-based products,Surface water,H,Ecosystem service is critical and irreplaceable in production process
Production of forest and wood-based products,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Production of forest products (non-paper),Climate regulation,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Production of forest products (non-paper),Fibres and other materials,H,"Ecosystem service is critical and irreplaceable in production process. Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Production of leisure or personal products,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Production of leisure or personal products,Surface water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Production of leisure or personal products,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Production of leisure or personal products,Fibres and other materials,H,"Ecosystem service is critical and irreplaceable in production process. Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Production of leisure or personal products,Fibres and other materials,H,"Ecosystem service is critical and irreplaceable in production process. Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Production of paper products,Climate regulation,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Production of paper products,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Production of paper products,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Production of paper products,Surface water,H,Ecosystem service is critical and irreplaceable in production process
Production of paper products,Ground water,H,Ecosystem service is critical and irreplaceable in production process 
Production of paper products,Fibres and other materials,H,"Ecosystem service is critical and irreplaceable in production process. Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Provision of health care,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Provision of health care,Surface water,H,Ecosystem service is critical and irreplaceable in production process
Provision of health care,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Railway transportation,Climate regulation,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Railway transportation,Pest control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Railway transportation,Ventilation,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Railway transportation,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Railway transportation,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Railway transportation,Surface water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Railway transportation,Ground water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Real estate activities,Flood and storm protection,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Real estate activities,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Real estate activities,Mediation of sensory impacts,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Real estate activities,Mediation of sensory impacts,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Real estate activities,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Real estate activities,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Real estate activities,Surface water,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Real estate activities,Ground water,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Recovery and separation of carbon dioxide,Climate regulation,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Recovery and separation of carbon dioxide,Water quality,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Recovery and separation of carbon dioxide,Ventilation,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Recovery and separation of carbon dioxide,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Recovery and separation of carbon dioxide,Water flow maintenance,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Recovery and separation of carbon dioxide,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Recovery and separation of carbon dioxide,Mediation of sensory impacts,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Recovery and separation of carbon dioxide,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Recovery and separation of carbon dioxide,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Recovery and separation of carbon dioxide,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Recovery and separation of carbon dioxide,Surface water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
