Ecosystem Service,Asset,Importance,Justification
Mediation of sensory impacts,Water,G,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Mediation of sensory impacts,Water,G,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Mediation of sensory impacts,Water,G,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Pest control,Habitats,A,Changes in habitats can create empty niches that allow invasions to occur.
Pest control,Species,R,Species can provide pest control services but also be pests themselves. Any change in species composition can therefore impact the ability to provide pest control.
Pest control,Species,R,Species can provide pest control services but also be pests themselves. Any change in species composition can therefore impact the ability to provide pest control.
Pest control,Species,R,Species can provide pest control services but also be pests themselves. Any change in species composition can therefore impact the ability to provide pest control.
Pest control,Species,R,Species can provide pest control services but also be pests themselves. Any change in species composition can therefore impact the ability to provide pest control.
Pollination,Atmosphere,R,Seed dispersal is sensitive to changes in the atmosphere as changes in wind will affect dispersal.
Pollination,Atmosphere,R,Seed dispersal is sensitive to changes in the atmosphere as changes in wind will affect dispersal.
Pollination,Atmosphere,R,Seed dispersal is sensitive to changes in the atmosphere as changes in wind will affect dispersal.
Pollination,Species,R,The majority of wild plants and food crops are pollinated by animals. Pollination is thereforehighly sensitive to changes in species.
Pollination,Species,R,The majority of wild plants and food crops are pollinated by animals. Pollination is thereforehighly sensitive to changes in species.
Pollination,Species,R,The majority of wild plants and food crops are pollinated by animals. Pollination is thereforehighly sensitive to changes in species.
Pollination,Species,R,The majority of wild plants and food crops are pollinated by animals. Pollination is thereforehighly sensitive to changes in species.
Pollination,Species,R,The majority of wild plants and food crops are pollinated by animals. Pollination is thereforehighly sensitive to changes in species.
Pollination,Species,R,The majority of wild plants and food crops are pollinated by animals. Pollination is thereforehighly sensitive to changes in species.
Pollination,Species,R,The majority of wild plants and food crops are pollinated by animals. Pollination is thereforehighly sensitive to changes in species.
Pollination,Species,R,The majority of wild plants and food crops are pollinated by animals. Pollination is thereforehighly sensitive to changes in species.
Pollination,Species,R,The majority of wild plants and food crops are pollinated by animals. Pollination is thereforehighly sensitive to changes in species.
Pollination,Species,R,The majority of wild plants and food crops are pollinated by animals. Pollination is thereforehighly sensitive to changes in species.
Pollination,Species,R,The majority of wild plants and food crops are pollinated by animals. Pollination is thereforehighly sensitive to changes in species.
Pollination,Species,R,The majority of wild plants and food crops are pollinated by animals. Pollination is thereforehighly sensitive to changes in species.
Pollination,Species,R,The majority of wild plants and food crops are pollinated by animals. Pollination is thereforehighly sensitive to changes in species.
Pollination,Species,R,The majority of wild plants and food crops are pollinated by animals. Pollination is thereforehighly sensitive to changes in species.
Pollination,Species,R,The majority of wild plants and food crops are pollinated by animals. Pollination is thereforehighly sensitive to changes in species.
Pollination,Water,A,Water plays an essential role in seed dispersal. Seed dispersal is therefore sensitive to changes in water and water levels.
Pollination,Water,A,Water plays an essential role in seed dispersal. Seed dispersal is therefore sensitive to changes in water and water levels.
Pollination,Water,A,Water plays an essential role in seed dispersal. Seed dispersal is therefore sensitive to changes in water and water levels.
Pollination,Water,A,Water plays an essential role in seed dispersal. Seed dispersal is therefore sensitive to changes in water and water levels.
Pollination,Water,A,Water plays an essential role in seed dispersal. Seed dispersal is therefore sensitive to changes in water and water levels.
Pollination,Water,A,Water plays an essential role in seed dispersal. Seed dispersal is therefore sensitive to changes in water and water levels.
Pollination,Water,A,Water plays an essential role in seed dispersal. Seed dispersal is therefore sensitive to changes in water and water levels.
Pollination,Water,A,Water plays an essential role in seed dispersal. Seed dispersal is therefore sensitive to changes in water and water levels.
Soil quality,Atmosphere,R,"Changes in precipitation, wind and temperature patters will affect soil quality by affecting both water availability and weathering processes. The complexity of the interactions between the various elements of the climate and the components of the soil make precise effects difficult to predict with accuracy."
Soil quality,Atmosphere,R,"Changes in precipitation, wind and temperature patters will affect soil quality by affecting both water availability and weathering processes. The complexity of the interactions between the various elements of the climate and the components of the soil make precise effects difficult to predict with accuracy."
Soil quality,Atmosphere,R,"Changes in precipitation, wind and temperature patters will affect soil quality by affecting both water availability and weathering processes. The complexity of the interactions between the various elements of the climate and the components of the soil make precise effects difficult to predict with accuracy."
Soil quality,Habitats,R,Habitats play a key role in decomposition and fixing processes that affect soil composition although they do not carry out thesse processes themselves but rather support the assets and conditions necessary for the service be provided.
Soil quality,Habitats,R,Habitats play a key role in decomposition and fixing processes that affect soil composition although they do not carry out thesse processes themselves but rather support the assets and conditions necessary for the service be provided.
Soil quality,Habitats,R,Habitats play a key role in decomposition and fixing processes that affect soil composition although they do not carry out thesse processes themselves but rather support the assets and conditions necessary for the service be provided.
Soil quality,Habitats,R,Habitats play a key role in decomposition and fixing processes that affect soil composition although they do not carry out thesse processes themselves but rather support the assets and conditions necessary for the service be provided.
Soil quality,Land geomorphology,R,"Geomorphology (especially the slope or gradient of terrain) affects the weathering processes from water as well as drainage. The impact of changes in geomorphology on soil quality are generally quite high but depend on the material and the the interactions between climate, topography, parent material, soil biota and time and factors related to the nature of the mineral itself.Major changes in land geomorphology are often irreversible, affecting soil quality over the long term. "
Soil quality,Land geomorphology,R,"Geomorphology (especially the slope or gradient of terrain) affects the weathering processes from water as well as drainage. The impact of changes in geomorphology on soil quality are generally quite high but depend on the material and the the interactions between climate, topography, parent material, soil biota and time and factors related to the nature of the mineral itself.Major changes in land geomorphology are often irreversible, affecting soil quality over the long term. "
Soil quality,Land geomorphology,R,"Geomorphology (especially the slope or gradient of terrain) affects the weathering processes from water as well as drainage. The impact of changes in geomorphology on soil quality are generally quite high but depend on the material and the the interactions between climate, topography, parent material, soil biota and time and factors related to the nature of the mineral itself.Major changes in land geomorphology are often irreversible, affecting soil quality over the long term. "
Soil quality,Land geomorphology,R,"Geomorphology (especially the slope or gradient of terrain) affects the weathering processes from water as well as drainage. The impact of changes in geomorphology on soil quality are generally quite high but depend on the material and the the interactions between climate, topography, parent material, soil biota and time and factors related to the nature of the mineral itself.Major changes in land geomorphology are often irreversible, affecting soil quality over the long term. "
Soil quality,Minerals,R,"Minerals are important for soil fertility since the surfaces act as sites for nutrient storage. As soil particles begin to weather, primary minerals release nutrients into the soil. As these particles decrease in size, the soil is also able to retain greater amounts of nutrients. Minerals are therefore directly linked, unsubstitutable, and soil quality is completely dependent on them. If the natural conditions of the asset are restored, the impact of changes on the service may be reversed. There is however relatively little known about this relationship."
Soil quality,Minerals,R,"Minerals are important for soil fertility since the surfaces act as sites for nutrient storage. As soil particles begin to weather, primary minerals release nutrients into the soil. As these particles decrease in size, the soil is also able to retain greater amounts of nutrients. Minerals are therefore directly linked, unsubstitutable, and soil quality is completely dependent on them. If the natural conditions of the asset are restored, the impact of changes on the service may be reversed. There is however relatively little known about this relationship."
Soil quality,Soils and sediments,R,The state of soils are directly linked with soil quality as the properties and composition of the soil are directly correlated with the decomposition and fixing processes that determine soil quality and suitability for supporting life.
Soil quality,Soils and sediments,A,The state of soils are directly linked with soil quality as the properties and composition of the soil are directly correlated with the decomposition and fixing processes that determine soil quality and suitability for supporting life.
Soil quality,Soils and sediments,A,The state of soils are directly linked with soil quality as the properties and composition of the soil are directly correlated with the decomposition and fixing processes that determine soil quality and suitability for supporting life.
Soil quality,Soils and sediments,R,The state of soils are directly linked with soil quality as the properties and composition of the soil are directly correlated with the decomposition and fixing processes that determine soil quality and suitability for supporting life.
Soil quality,Soils and sediments,R,The state of soils are directly linked with soil quality as the properties and composition of the soil are directly correlated with the decomposition and fixing processes that determine soil quality and suitability for supporting life.
Soil quality,Soils and sediments,A,The state of soils are directly linked with soil quality as the properties and composition of the soil are directly correlated with the decomposition and fixing processes that determine soil quality and suitability for supporting life.
Soil quality,Soils and sediments,A,The state of soils are directly linked with soil quality as the properties and composition of the soil are directly correlated with the decomposition and fixing processes that determine soil quality and suitability for supporting life.
Soil quality,Species,R,Species in soil and the ecosystem play a key role in decomposition and decomposition and fixing processes.
Soil quality,Species,A,Species in soil and the ecosystem play a key role in decomposition and decomposition and fixing processes.
Soil quality,Species,A,Species in soil and the ecosystem play a key role in decomposition and decomposition and fixing processes.
Soil quality,Species,R,Species in soil and the ecosystem play a key role in decomposition and decomposition and fixing processes.
Soil quality,Species,R,Species in soil and the ecosystem play a key role in decomposition and decomposition and fixing processes.
Soil quality,Species,A,Species in soil and the ecosystem play a key role in decomposition and decomposition and fixing processes.
Soil quality,Species,A,Species in soil and the ecosystem play a key role in decomposition and decomposition and fixing processes.
Soil quality,Species,A,Species in soil and the ecosystem play a key role in decomposition and decomposition and fixing processes.
Soil quality,Water,A,"Water facilitates and provides the necessary conditions for decomposition and fixing processes that are key determinants of soil quality. Changes in water availability, amount and frequency can result in alteration of soil organic matter, and imbalances in decomposition rates and fixation processes. Water is also an agent of both chemical and physical weathering. "
Soil quality,Water,A,"Water facilitates and provides the necessary conditions for decomposition and fixing processes that are key determinants of soil quality. Changes in water availability, amount and frequency can result in alteration of soil organic matter, and imbalances in decomposition rates and fixation processes. Water is also an agent of both chemical and physical weathering. "
Soil quality,Water,A,"Water facilitates and provides the necessary conditions for decomposition and fixing processes that are key determinants of soil quality. Changes in water availability, amount and frequency can result in alteration of soil organic matter, and imbalances in decomposition rates and fixation processes. Water is also an agent of both chemical and physical weathering. "
Soil quality,Water,A,"Water facilitates and provides the necessary conditions for decomposition and fixing processes that are key determinants of soil quality. Changes in water availability, amount and frequency can result in alteration of soil organic matter, and imbalances in decomposition rates and fixation processes. Water is also an agent of both chemical and physical weathering. "
Soil quality,Water,A,"Water facilitates and provides the necessary conditions for decomposition and fixing processes that are key determinants of soil quality. Changes in water availability, amount and frequency can result in alteration of soil organic matter, and imbalances in decomposition rates and fixation processes. Water is also an agent of both chemical and physical weathering. "
Soil quality,Water,A,"Water facilitates and provides the necessary conditions for decomposition and fixing processes that are key determinants of soil quality. Changes in water availability, amount and frequency can result in alteration of soil organic matter, and imbalances in decomposition rates and fixation processes. Water is also an agent of both chemical and physical weathering. "
Surface water,Water,A,Water as an asset directly provides surface water. Surface water is therefore highly sensitive to changes in the amount of water in water bodies and rainfall.
Surface water,Water,A,Water as an asset directly provides surface water. Surface water is therefore highly sensitive to changes in the amount of water in water bodies and rainfall.
Surface water,Water,A,Water as an asset directly provides surface water. Surface water is therefore highly sensitive to changes in the amount of water in water bodies and rainfall.
Surface water,Water,A,Water as an asset directly provides surface water. Surface water is therefore highly sensitive to changes in the amount of water in water bodies and rainfall.
Surface water,Water,A,Water as an asset directly provides surface water. Surface water is therefore highly sensitive to changes in the amount of water in water bodies and rainfall.
Ventilation,Species,R,Ventilation and transpiration are directly provided by species. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Ventilation,Species,R,Ventilation and transpiration are directly provided by species. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Ventilation,Species,R,Ventilation and transpiration are directly provided by species. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Water flow maintenance,Atmosphere,R,The hydrological cycle is highly sensitive to changes in the atmosphere as these affect rainfall and temperature patterns.
Water flow maintenance,Atmosphere,R,The hydrological cycle is highly sensitive to changes in the atmosphere as these affect rainfall and temperature patterns.
Water flow maintenance,Atmosphere,R,The hydrological cycle is highly sensitive to changes in the atmosphere as these affect rainfall and temperature patterns.
Water flow maintenance,Habitats,A,Habitats affect the way water flows through landscapes and changes in habitats can therefore lead to impacts on the hydrological cycle.
Water flow maintenance,Habitats,A,Habitats affect the way water flows through landscapes and changes in habitats can therefore lead to impacts on the hydrological cycle.
Water flow maintenance,Habitats,A,Habitats affect the way water flows through landscapes and changes in habitats can therefore lead to impacts on the hydrological cycle.
Water flow maintenance,Habitats,A,Habitats affect the way water flows through landscapes and changes in habitats can therefore lead to impacts on the hydrological cycle.
Water flow maintenance,Water,A,"Water as an asset is intrinsically linked to the water flow maintenance service. The hydrological cycle and water flow are sensitive to changes in water quantities. Changes in the amount of water available can in some cases be reversed butsometimes only over the long term. Natural aquifer recharge rates are, for example, very low in arid and semi-arid regions."
Water flow maintenance,Water,A,"Water as an asset is intrinsically linked to the water flow maintenance service. The hydrological cycle and water flow are sensitive to changes in water quantities. Changes in the amount of water available can in some cases be reversed butsometimes only over the long term. Natural aquifer recharge rates are, for example, very low in arid and semi-arid regions."
Water flow maintenance,Water,A,"Water as an asset is intrinsically linked to the water flow maintenance service. The hydrological cycle and water flow are sensitive to changes in water quantities. Changes in the amount of water available can in some cases be reversed butsometimes only over the long term. Natural aquifer recharge rates are, for example, very low in arid and semi-arid regions."
Water flow maintenance,Water,A,"Water as an asset is intrinsically linked to the water flow maintenance service. The hydrological cycle and water flow are sensitive to changes in water quantities. Changes in the amount of water available can in some cases be reversed butsometimes only over the long term. Natural aquifer recharge rates are, for example, very low in arid and semi-arid regions."
Water flow maintenance,Water,A,"Water as an asset is intrinsically linked to the water flow maintenance service. The hydrological cycle and water flow are sensitive to changes in water quantities. Changes in the amount of water available can in some cases be reversed butsometimes only over the long term. Natural aquifer recharge rates are, for example, very low in arid and semi-arid regions."
Water quality,Species,A,Species provide important services such as nutrient cycling and water filtration that contribute to water quality.
Water quality,Species,A,Species provide important services such as nutrient cycling and water filtration that contribute to water quality.
Water quality,Species,A,Species provide important services such as nutrient cycling and water filtration that contribute to water quality.
Water quality,Species,A,Species provide important services such as nutrient cycling and water filtration that contribute to water quality.
Water quality,Species,A,Species provide important services such as nutrient cycling and water filtration that contribute to water quality.
Water quality,Species,A,Species provide important services such as nutrient cycling and water filtration that contribute to water quality.
Water quality,Water,A,Water quality is an intrinsic feature of water as an asset. Chemical condition of freshwaters are highly sensitive to changes in water by pollution and run-off.
Water quality,Water,A,Water quality is an intrinsic feature of water as an asset. Chemical condition of freshwaters are highly sensitive to changes in water by pollution and run-off.
Water quality,Water,A,Water quality is an intrinsic feature of water as an asset. Chemical condition of freshwaters are highly sensitive to changes in water by pollution and run-off.
Water quality,Water,A,Water quality is an intrinsic feature of water as an asset. Chemical condition of freshwaters are highly sensitive to changes in water by pollution and run-off.
Water quality,Water,A,Water quality is an intrinsic feature of water as an asset. Chemical condition of freshwaters are highly sensitive to changes in water by pollution and run-off.
Water quality,Water,A,Water quality is an intrinsic feature of water as an asset. Chemical condition of freshwaters are highly sensitive to changes in water by pollution and run-off.
Water quality,Water,A,Water quality is an intrinsic feature of water as an asset. Chemical condition of freshwaters are highly sensitive to changes in water by pollution and run-off.
