Asset,Driver,Influence,Justification,Likely Response,Effect on Variability,Human action or natural variation,Timescale,Spatial Characteristics
Habitats,Ocean current and circulation,R,"Habitats are likely to exhibit a negative response to changing ocean currents and circulation. Due to climate change effects, sea ice has been observed to be rapidly thinning and decreasing in area, reducing Arctic and Antarctic habitats. A secondary effect of this is the reintroduction of colder less saline waters into major oceans, disrupting currents that in turn alter atmospheric climate regulators such as the Gulf stream, and potentially causing significant changes to weather patterns and negatively impacting global habitats.",Breakdown in thermohaline circulation caused by rapid glacial melting and influx of freshwater to oceans.,Rapid climate cooling and loss of regional climate regulating function.,Human action,Long-term,Regional seas and smaller regions of ocean
Habitats,Ocean current and circulation,R,"Habitats are likely to exhibit a negative response to changing ocean currents and circulation. Due to climate change effects, sea ice has been observed to be rapidly thinning and decreasing in area, reducing Arctic and Antarctic habitats. A secondary effect of this is the reintroduction of colder less saline waters into major oceans, disrupting currents that in turn alter atmospheric climate regulators such as the Gulf stream, and potentially causing significant changes to weather patterns and negatively impacting global habitats.","Affects health of ecosystems, alters ocean currents and changes biotic communities.","Warming and acidification ocean creates thermal stress (e.g. coral bleaching), sea level rise, sedimentation, Altered ocean currents lead to changes in connectivity and temperature regimes. Ocean acidification leads to a reduction in pH levels and decreases growth rates.",Human action / Natural variation,Short-mid-long term,Local-Regional-Global
Habitats,Pollution,A,"Pollution can cause physical and chemical changes to habitats, which reduces provisioning capacity, subsequently impacting species. Habitats have the ability to recover from pollution impacts if not too overloaded with irreversible pollutants, with pollution type and loading level both important. Some habitats are more resilient to the effects of pollution - the relationship is usually context specific, and depends on the habitat, but also the type of contaminant.",Habitat degradation and reduction or interruption of algal species’ ability to perform bio-remediation.,Decreased bio-remediation due to decreased ability of algae to perform bio-remediation.,Human action,Short term - An area can be saturated within hours or days resulting from a severe spill of contaminants. Mid-long term - Loss of environmental function occurs on a longer timescale.,"Local - This impact is specific to areas that are highly degraded or polluted. Conversely, algae that exist in highly regulated water bodies might be able to develop better and thus provide a better service."
Habitats,Pollution,A,"Pollution can cause physical and chemical changes to habitats, which reduces provisioning capacity, subsequently impacting species. Habitats have the ability to recover from pollution impacts if not too overloaded with irreversible pollutants, with pollution type and loading level both important. Some habitats are more resilient to the effects of pollution - the relationship is usually context specific, and depends on the habitat, but also the type of contaminant.",Excess nutrient loads and sunlight cause imbalances in micro algae concentrations. Harmful toxins produced by the bloom kill beneficial cyanobacteria.,Any services arising from the algae will be diminished or stopped.,Human action,Short-term,Global - coastal and freshwater environments
Habitats,Pollution,A,"Pollution can cause physical and chemical changes to habitats, which reduces provisioning capacity, subsequently impacting species. Habitats have the ability to recover from pollution impacts if not too overloaded with irreversible pollutants, with pollution type and loading level both important. Some habitats are more resilient to the effects of pollution - the relationship is usually context specific, and depends on the habitat, but also the type of contaminant.",Reduction in the ability of habitats to filter or capture pollutants.,"Decreased filtration, adsorption, or accumulation of pollutants at the ecosystem level.",Human action,Short term - An area can be saturated within hours or days resulting from a severe spill of contaminants. Long term - Steady accumulation above the rate at plants are able to perform filtration and sequestration can lead to long term impacts.,Local - This impact is specific to areas that are highly degraded or polluted.
Habitats,Pollution,A,"Pollution can cause physical and chemical changes to habitats, which reduces provisioning capacity, subsequently impacting species. Habitats have the ability to recover from pollution impacts if not too overloaded with irreversible pollutants, with pollution type and loading level both important. Some habitats are more resilient to the effects of pollution - the relationship is usually context specific, and depends on the habitat, but also the type of contaminant.",Habitat loss due to overfertilization and toxics contamination,Habitat loss due to clouding of coastal waters by sediment from run-off and toxics which leads to contamination.,Human action,Short-mid term (depending on extent and intensity),Local-Regional
Habitats,Pollution,A,"Pollution can cause physical and chemical changes to habitats, which reduces provisioning capacity, subsequently impacting species. Habitats have the ability to recover from pollution impacts if not too overloaded with irreversible pollutants, with pollution type and loading level both important. Some habitats are more resilient to the effects of pollution - the relationship is usually context specific, and depends on the habitat, but also the type of contaminant.","Alters conditions: temperature, humidity, rainfall","Pollution may alter presence and conditions of urban and suburban vegetation, may diminish plants’ capacity of gas
 absorption.",Human action,Short-mid term,Global
Habitats,Pollution,A,"Pollution can cause physical and chemical changes to habitats, which reduces provisioning capacity, subsequently impacting species. Habitats have the ability to recover from pollution impacts if not too overloaded with irreversible pollutants, with pollution type and loading level both important. Some habitats are more resilient to the effects of pollution - the relationship is usually context specific, and depends on the habitat, but also the type of contaminant.",Microbiota are sensitive to metal pollution. Toxicity of heavy metals displaces exchangeable nutrients from binding sites.,Pollution inhibits litter decomposition. Decomposition is sensitive to pollution and metals contaminants at the microbial level. Metal pollution also makes plant matter difficult to decompose. May lead to algal blooms.,Human action,Short-long term,Local-Global
Habitats,Pollution,A,"Pollution can cause physical and chemical changes to habitats, which reduces provisioning capacity, subsequently impacting species. Habitats have the ability to recover from pollution impacts if not too overloaded with irreversible pollutants, with pollution type and loading level both important. Some habitats are more resilient to the effects of pollution - the relationship is usually context specific, and depends on the habitat, but also the type of contaminant.",Suppressed rainfall in highly polluted areas due to reduced efficiency of clouds at releasing precipitation.,Decreased water balance and disrupted hydrological cycle in polluted areas,Human action,Short term,Local - Dependent on local pollution levels; areas with higher degrees of aerosol use will be more sensitive to this impact.
Habitats,Sea level rise,R,"Terrestrial habitats are likely to suffer significant losses over the next 100 years with sea levels expected to rise by 1-2m. This will also have significant impacts on intertidal habitats which may lose up to 90% area coverage in steep coastal shores. Terrestrial vegetation is highly susceptible to salt water intrusion and will be affected with a high degree of variability as a consequence of differing coastal topographies, soil types and estuarine systems.",Surface area of coastal habitats reduced by rising sea level.,Removal of organic component of coastal sediments and their burial. Loss of carbon sink.,Human action,Long term,Coastal ecosystems
Habitats,Sea level rise,R,"Terrestrial habitats are likely to suffer significant losses over the next 100 years with sea levels expected to rise by 1-2m. This will also have significant impacts on intertidal habitats which may lose up to 90% area coverage in steep coastal shores. Terrestrial vegetation is highly susceptible to salt water intrusion and will be affected with a high degree of variability as a consequence of differing coastal topographies, soil types and estuarine systems.",Coastal wetlands and other ecosystems experience large losses.,Loss of coastal habitats and upward and landward movement of flooding risk zones.,Human action,Mid-long term,Global
Habitats,Sea level rise,R,"Terrestrial habitats are likely to suffer significant losses over the next 100 years with sea levels expected to rise by 1-2m. This will also have significant impacts on intertidal habitats which may lose up to 90% area coverage in steep coastal shores. Terrestrial vegetation is highly susceptible to salt water intrusion and will be affected with a high degree of variability as a consequence of differing coastal topographies, soil types and estuarine systems.","Affects health of ecosystems, alters ocean currents and changes biotic communities.","Warming and acidification ocean creates thermal stress (e.g. coral bleaching), sea level rise, sedimentation, Altered ocean currents lead to changes in connectivity and temperature regimes. Ocean acidification leads to a reduction in pH levels and decreases growth rates.",Human action / Natural variation,Short-mid-long term,Local-Regional-Global
Habitats,Sea surface temperature,A,Warm water marine habitats will exhibit a poleward shift with rising sea surface temperatures while terrestrial habitats will be negatively impacted by enhanced extreme climatic events that are linked with sea surface temperatures (e.g. El Nino events). ,Caused an annual 1% decline in phytoplankton in worlds’ oceans.,Less carbon absorbed by phytoplankton for photosynthesis.,Human action,Short term,Global - oceans
Habitats,Sea surface temperature,A,Warm water marine habitats will exhibit a poleward shift with rising sea surface temperatures while terrestrial habitats will be negatively impacted by enhanced extreme climatic events that are linked with sea surface temperatures (e.g. El Nino events). ,Cyclic and fatally bleached sponge tissues had lower chlorophyll a concentrations than non-bleached tissues.,Sponge pieces incubated at 30°C in a lab show mortality after less than 15 hours with impacts on medicinal compound provision.,Human action,Medium term,Warm water coral reef ecosystems
Habitats,Storms,R,"Storms can have strong negative impacts on specific types of habitats such as shallow coral reefs. Storm intensity and frequency is expected to increase over the next 100 years  with tropical storms predicted to increase in intensity by 2-11%. There is, however, a high level of variability in habitat responses to storms.",Loss of cover due to event induced tree throw. Wave action generated by winds.,Damage protective vegetation.,Natural,Short term,Universal
Habitats,Storms,R,"Storms can have strong negative impacts on specific types of habitats such as shallow coral reefs. Storm intensity and frequency is expected to increase over the next 100 years  with tropical storms predicted to increase in intensity by 2-11%. There is, however, a high level of variability in habitat responses to storms.",Detrital material produced by storms caused annual erosion of two species of kelp of between 0.5 and 1.7 kg dry weight per m2. Erosion rate was positively related to water temperature and site exposure.,Increased erosion of kelp blades by storms. Increased storm frequency will lead to removal of the kelp component and reduction in overall standing biomass.,Human action,Long-term (temperature variability) and short term (extreme storms),Marine kelp forests in mid-latitude systems
Habitats,Storms,R,"Storms can have strong negative impacts on specific types of habitats such as shallow coral reefs. Storm intensity and frequency is expected to increase over the next 100 years  with tropical storms predicted to increase in intensity by 2-11%. There is, however, a high level of variability in habitat responses to storms.","Increased erosion of kelp blades due to increased storm frequency, linked to global climate change",Greater destruction through mechanical breakup of the kelp component and reduction in overall standing biomass. Detrital material produced by storms caused annual erosion of two species of kelp of between 0.5 and 1.7 kg dry weight per m2 . Erosion positively related to water temperature and site exposure.,Human action,Long-term (temperature variability) and short term (extreme storms),Marine kelp forests in mid-latitude systems
Habitats,Storms,R,"Storms can have strong negative impacts on specific types of habitats such as shallow coral reefs. Storm intensity and frequency is expected to increase over the next 100 years  with tropical storms predicted to increase in intensity by 2-11%. There is, however, a high level of variability in habitat responses to storms.",Loss of cover due to event induced tree throw. Damage of protective vegetation.,Reduction of storm attenuation capacity.,Human action,Short-mid-long term,Global
Habitats,Storms,R,"Storms can have strong negative impacts on specific types of habitats such as shallow coral reefs. Storm intensity and frequency is expected to increase over the next 100 years  with tropical storms predicted to increase in intensity by 2-11%. There is, however, a high level of variability in habitat responses to storms.","Affects health of ecosystems, leads to altered ocean current and water runoff changes.","Changes in storm patterns leads to destruction of structures. Changes in precipitation create increases in runoff of freshwater, and land based pollutants.",Human action / Natural variation,Short-mid-long term,Local-Regional-Global
Habitats,Storms,R,"Storms can have strong negative impacts on specific types of habitats such as shallow coral reefs. Storm intensity and frequency is expected to increase over the next 100 years  with tropical storms predicted to increase in intensity by 2-11%. There is, however, a high level of variability in habitat responses to storms.",Wave action generated by wind and intense storms damages plants and cause changes in hydrology.,Loss or damage of vegetation can cause reduction in sediment retention capacity. Storm induced tree throw exposes soil and triggers erosion.,Natural,Short term,Local
Habitats,Weather conditions,R,"Weather conditions affect habitats in many ways. Increased temperatures have, for example, led to changes in vegetation composition, whilst extreme weather events have affected of habitats globally. Alterations of existing habitats are therefore expected to increase over the next 100 years with predicted increases in temperatures and changes in climatic conditions.",Rainfall intensity,Risk as heavy raindrops on bare soil causes soil surface to seal increasing erodibility. Increased soil break up and vulnerability to water erosion.,Natural,Short term (seasonal),Local
Habitats,Weather conditions,R,"Weather conditions affect habitats in many ways. Increased temperatures have, for example, led to changes in vegetation composition, whilst extreme weather events have affected of habitats globally. Alterations of existing habitats are therefore expected to increase over the next 100 years with predicted increases in temperatures and changes in climatic conditions.",Permafrost (frozen soil layer) melting due to higher average annual temperatures,"Methane gas bubbles trapped in soil released as it melts, increasing emissions to the atmosphere, exacerbating the warming effect in the short term and causing a positive feedback in the long term as warming continues to melt permafrost releasing more methane.",Human action,Long term,High latitudes
Habitats,Weather conditions,R,"Weather conditions affect habitats in many ways. Increased temperatures have, for example, led to changes in vegetation composition, whilst extreme weather events have affected of habitats globally. Alterations of existing habitats are therefore expected to increase over the next 100 years with predicted increases in temperatures and changes in climatic conditions.",Climatic anomalies (e.g. ENSO) create deficits and excesses in temperature and precipitation.,"Regulation of regional climate is heavily impacted, e.g. an El Niño is associated with warm and very wet weather months in April–October causing major flooding in southern hemisphere countries such as Peru and Ecuador.",Natural variation,Long-term,Regional - tropics and sub-tropics
Habitats,Weather conditions,R,"Weather conditions affect habitats in many ways. Increased temperatures have, for example, led to changes in vegetation composition, whilst extreme weather events have affected of habitats globally. Alterations of existing habitats are therefore expected to increase over the next 100 years with predicted increases in temperatures and changes in climatic conditions.",Species (of pathogens or their hosts) range shifts due to change in climate conditions,Usual predator-prey relationships change and harmful species can spread into areas where they are not predated on,Human action,Long term,Global
Habitats,Weather conditions,R,"Weather conditions affect habitats in many ways. Increased temperatures have, for example, led to changes in vegetation composition, whilst extreme weather events have affected of habitats globally. Alterations of existing habitats are therefore expected to increase over the next 100 years with predicted increases in temperatures and changes in climatic conditions.",Climate anomalies cause changes to the photosynthetic cycle and global greening patterns.,There is a quantitative link between climate anomalies such as the El Nino Southern Oscillation and weather events. There is evidence of reduced vegetation greenness during ENSO events in sub-tropical parts of the southern hemisphere impacting fibre provision.,Natural variation,"Mid-term, with a temporal lag of 12 months after the ENSO events",Semi-arid vegetation in the southern hemisphere. The impacts are not universal and will vary in space and time.
Habitats,Weather conditions,R,"Weather conditions affect habitats in many ways. Increased temperatures have, for example, led to changes in vegetation composition, whilst extreme weather events have affected of habitats globally. Alterations of existing habitats are therefore expected to increase over the next 100 years with predicted increases in temperatures and changes in climatic conditions.","Rising temperatures and changing rainfall patterns creates the risk of crop failure, e.g. the 2010 Russian heatwave and the 2012 US Midwest drought. ","Decreasing yields of cereals, contributing to higher food prices and a greater demand than supply.",Human action,Long-term,Global
Habitats,Weather conditions,R,"Weather conditions affect habitats in many ways. Increased temperatures have, for example, led to changes in vegetation composition, whilst extreme weather events have affected of habitats globally. Alterations of existing habitats are therefore expected to increase over the next 100 years with predicted increases in temperatures and changes in climatic conditions.","Climate change driven rising temperatures, changes in rainfall patterns and an increase in extreme weather events threatens fodder crop production.","Models suggest substantial risks to the volume, volatility, and quality of animal feed supply chains despite some gains in productivity.",Human action,Long-term,Global
Habitats,Weather conditions,R,"Weather conditions affect habitats in many ways. Increased temperatures have, for example, led to changes in vegetation composition, whilst extreme weather events have affected of habitats globally. Alterations of existing habitats are therefore expected to increase over the next 100 years with predicted increases in temperatures and changes in climatic conditions.",Increased or decreased functioning of habitats within ecosystems,"Increased or decreased ability of habitats to perform filtration, sequestration, storage, and/or accumulation of pollutants within ecosystems.",Natural variation,Short term - Daily to seasonal variation in weather conditions. Mid-term - Inter-annual variation in weather conditions. Long term - Decadal variation in weather conditions.,Regional - Climatological patterns are highly region-specific. Global - Climate change is occurring on a global scale.
Habitats,Weather conditions,R,"Weather conditions affect habitats in many ways. Increased temperatures have, for example, led to changes in vegetation composition, whilst extreme weather events have affected of habitats globally. Alterations of existing habitats are therefore expected to increase over the next 100 years with predicted increases in temperatures and changes in climatic conditions.",Damage of protective vegetation and watersheds.,Reduction of flood attenuation capacity.,Human action,Short-mid-long term,Global
Habitats,Weather conditions,R,"Weather conditions affect habitats in many ways. Increased temperatures have, for example, led to changes in vegetation composition, whilst extreme weather events have affected of habitats globally. Alterations of existing habitats are therefore expected to increase over the next 100 years with predicted increases in temperatures and changes in climatic conditions.",Rainfall intensity,Risk as heavy raindrops on bare soil causes soil surface to seal increasing erodibility.,Natural,Short term (seasonal),Local
Habitats,Weather conditions,R,"Weather conditions affect habitats in many ways. Increased temperatures have, for example, led to changes in vegetation composition, whilst extreme weather events have affected of habitats globally. Alterations of existing habitats are therefore expected to increase over the next 100 years with predicted increases in temperatures and changes in climatic conditions.","Alters conditions: temperature, humidity, rainfall.",Climatic conditions affect air pollution levels and absorption by vegetation. Climate changes may alter vegetation. Droughts may cause disruption of water for sound attenuation.,Natural variation/Human action,Short-mid term,Global
Habitats,Weather conditions,R,"Weather conditions affect habitats in many ways. Increased temperatures have, for example, led to changes in vegetation composition, whilst extreme weather events have affected of habitats globally. Alterations of existing habitats are therefore expected to increase over the next 100 years with predicted increases in temperatures and changes in climatic conditions.",Alteration of biochemical and chemical reactions.,Biochemical and chemical reactions involved in decomposition and fixation processes are temperature dependent and have high temperature sensitivity.,Human action,Short-long term,Global
Habitats,Weather conditions,R,"Weather conditions affect habitats in many ways. Increased temperatures have, for example, led to changes in vegetation composition, whilst extreme weather events have affected of habitats globally. Alterations of existing habitats are therefore expected to increase over the next 100 years with predicted increases in temperatures and changes in climatic conditions.",Increases or decreases in the amount of rainfall and solar energy available on a regional/local basis.,Increased or decreased water balances within landscapes.,Natural variation,Short term - Daily to seasonal variation in rainfall and cloud cover that affects how solar energy impacts water in landscapes. Mid-term - Inter-annual variation in rainfall. Long term - Decadal variation in rainfall patterns.,"Regional - Rainfall patterns and solar energy are highly region-specific, for example tropical regions get periodic monsoons and dry months throughout the year, whereas temperate regions have more seasonal weather patterns."
Habitats,Weather conditions,R,"Weather conditions affect habitats in many ways. Increased temperatures have, for example, led to changes in vegetation composition, whilst extreme weather events have affected of habitats globally. Alterations of existing habitats are therefore expected to increase over the next 100 years with predicted increases in temperatures and changes in climatic conditions.",More unstable precipitation patterns and increases in global temperature.,Increases or decreases in water balance at a local and regional scale,Human action,Short term E.g. flash storms may lead to sudden floods.,Global - Climate change is global in its nature. Regional and local - Effects of climate change will be felt on a more local basis; arid regions are highly sensitive to variations in precipitation patterns and are likely to experience water shortage in the future.
Land geomorphology,Earthquakes,A,"Earthquakes can initiate major geomorphological changes by uplift, depression and tilting, vertical dislocations. These can be rapid and vast and unpredictable.",Displaces or reduces population of biota. Also reduces thickness of soil water films and inhibits enzymes.,"Disturbance of biotic and abiotic factors pose environmental constraints that can temporarily or indefinitely affect decomposition sensitivity. Changes soil’s environment, modifying processes.",Human action,Long term,Local
Land geomorphology,Flooding,R,"Floods impact land geomorphology by altering the natural flow of water bodies, moving large volumes of soil and sediments, deposit of sediments, washing away of rock fragments; they also indirectly cause change through erosion, habitat change and changes in soil.",Loss of cover due to event induced tree throw. Wave action generated by winds.,Damage protective vegetation.,Natural,Short term,Universal
Land geomorphology,Flooding,R,"Floods impact land geomorphology by altering the natural flow of water bodies, moving large volumes of soil and sediments, deposit of sediments, washing away of rock fragments; they also indirectly cause change through erosion, habitat change and changes in soil.",Wave action generated by wind and intense storms damages plants and cause changes in hydrology.,Loss or damage of vegetation can cause reduction in sediment retention capacity. Storm induced tree throw exposes soil and triggers erosion.,Natural,Short term,Local
Land geomorphology,Flooding,R,"Floods impact land geomorphology by altering the natural flow of water bodies, moving large volumes of soil and sediments, deposit of sediments, washing away of rock fragments; they also indirectly cause change through erosion, habitat change and changes in soil.","Alters biological soil community, structural properties of parent material by exposure to water.",Changes soil’s environment and modifies processes.,Human action,Long term,Local
Land geomorphology,Habitat modification,A,"Habitat changes such as deforestation, can indirectly alter land forms by exposing land to erosion and landslides, one of the main drivers of land form alterations.","Diversion of drainage furrows, waterways, dam by washes, etc.",Run-off concentration. Increase soil break up and vulnerability to erosion leading to loss of service.,Human action,Short-mid term,Local
Land geomorphology,Habitat modification,A,"Habitat changes such as deforestation, can indirectly alter land forms by exposing land to erosion and landslides, one of the main drivers of land form alterations.",Increase slope length and/or steepness,"Slope increase causes increase in speed, power and depth of the runoff carrying more soil with it. Influence nature of the soil making it more susceptible to erosion.",Human action,Short-mid term,Local
Land geomorphology,Habitat modification,A,"Habitat changes such as deforestation, can indirectly alter land forms by exposing land to erosion and landslides, one of the main drivers of land form alterations.","Deforestation, loss of biological community.","Alters biological, mechanical and chemical weathering processes. Type of land use determines type of disturbance (tillage, agrochemicals, fertilizers, excrements, etc.) changes soil properties.",Human action,Long term,Local
Land geomorphology,Industrial or domestic activities,A,"Intentional activities (eg. mining, construction, industry, waste generation, and construction of roads, canals, etc) and unintentional activities (e.g. erosion related to habitat modification) result in significant changes to the earth's subsurface. Human impacts on geomorphological processes and structures are increasing in amount and strength through time.",Strong wave action by boats,Coastal systems such as mangrove forests could be damaged.,Human action,Short term,Local
Land geomorphology,Industrial or domestic activities,A,"Intentional activities (e.g. mining, construction, industry, waste generation, and construction of roads, canals, etc.) and unintentional activities (e.g. erosion related to habitat modification) result in significant changes to the earth's subsurface. Human impacts on geomorphological processes and structures are increasing in amount and strength through time.","Strong wave action by boats. Loss of sand through mining, development and coastal structures. Disturbance of vegetation.",Damage of coastal ecosystems such as mangrove forests and loss of dunes and natural beaches results in reduction of sediment retention and erosion control.,Human action,Short term,Local
Land geomorphology,Landslides,A,"Erosion and landslides have significant impacts on hillslope morphology, river channels, valley floors, etc, and cause changes in structural elements such as elevation, relief, and slope. Susceptibility depends largely on length and angle of slope, soil and structural characteristics and strength of impact, thus there is variability in the response of the asset to this driver, but it is low. ","Earth movements, alteration of slope steepness, the speed of runoff increases on steep slopes, which increases the power of water to break off and carry soil particles.",Increase soil break up and vulnerability to water erosion.,Natural,Short term,Local
Land geomorphology,Landslides,A,"Erosion and landslides have significant impacts on hillslope morphology, river channels, valley floors, etc, and cause changes in structural elements such as elevation, relief, and slope. Susceptibility depends largely on length and angle of slope, soil and structural characteristics and strength of impact, thus there is variability in the response of the asset to this driver, but it is low. ","Earth movements, alteration of slope steepness, slope length and slope morphology.","Increased soil break up and vulnerability to water erosion. The speed of runoff increases on steep slopes, which increases the power of water to break off and carry soil particles.",Natural,Short term,Local
Land geomorphology,Volcanoes,A,"Volcanoes can have deep geomorphological consequences on surrounding landscapes. Some volcanic eruptions may result in creations of new land forms, and some can cause a series of events that result in major changes to the landscape and topography.",Displaces or reduces population of biota. Also reduces thickness of soil water films and inhibits enzymes.,"Disturbance of biotic and abiotic factors pose environmental constraints that can temporarily or indefinitely affect decomposition sensitivity. Changes soil’s environment, modifying processes.",Human action,Long term,Local
Minerals,Habitat modification,R,"Habitat modification affects the soil and leads to altered mineral composition by increasing soil degradation, leaching, soil microbial activity and mineralisation of nutrients. Soils are highly susceptible to these processes when they are exposed to atmospheric conditions as opposed to naturally occurring microclimates created by vegetation. Habitat modification is expected to increase with human population expansion and is therefore expected to impact mineral levels over time. The extent to which mineral compositions are altered is, however, highly variable, uncertain and dependent on a variety of factors such as pre-existing conditions and soil composition.","Deforestation, loss of biological community.","Alters biological, mechanical and chemical weathering processes. Type of land use determines type of disturbance (tillage, agrochemicals, fertilizers, excrements, etc.) changes soil properties.",Human action,Long term,Local
Minerals,Habitat modification,R,"Habitat modification affects the soil and leads to altered mineral composition by increasing soil degradation, leaching, soil microbial activity and mineralisation of nutrients. Soils are highly susceptible to these processes when they are exposed to atmospheric conditions as opposed to naturally occurring microclimates created by vegetation. Habitat modification is expected to increase with human population expansion and is therefore expected to impact mineral levels over time. The extent to which mineral compositions are altered is, however, highly variable, uncertain and dependent on a variety of factors such as pre-existing conditions and soil composition.","Alters water flow and availability, and rock structure and topographic characteristics which alter soil composition.",Changing decomposition and fixation processes,Human action,Short term,Local
Minerals,Volcanoes,R,"Volcanic eruptions can greatly increase the deposition of minerals to far-reaching areas via atmospheric ash exudation and wind transportation. Additionally, hydrothermal activity can result in precipitation of mineral deposits in deep circulating water.",Displaces or reduces population of biota. Also reduces thickness of soil water films and inhibits enzymes.,"Disturbance of biotic and abiotic factors pose environmental constraints that can temporarily or indefinitely affect decomposition sensitivity. Changes soil’s environment, modifying processes.",Human action,Long term,Local
Ocean geomorphology,Industrial or domestic activities,A,"Industrial activities have significant impacts on shallow water areas. Some fishing activities such as boom trawling, for example,  greatly damages coral reefs. Additionally, industrial and domestic clearance and pollution of coastal habitats, such as mangrove forest and saltmarsh, have resulted in the loss of natural protection for coastal structures from physical damage and alteration.  With rising sea levels and increased storm frequency and intensity, negative impacts of industrial and domestic activity will continue to increase.",Leads to coastal hardening.,Impacts how quickly and efficiently pollutants are diluted,Human action,Short term,Global
Soils and sediments,Droughts,A,"Droughts can have a high impact on soil health, reducing fertility, causing changes in water balance, nutrient balance, biotic community, soil organic matter, and other biological and chemical properties. They also alters the physical characteristics of soil, like compaction, erodibility, and stability. These impacts are dependent on soil conditions, and length of droughts, which are both highly variable.",Damage protective vegetation.,Poor vegetation cover. Damage protective vegetation.,Human action,Short term,Local
Soils and sediments,Droughts,A,"Droughts can have a high impact on soil health, reducing fertility, causing changes in water balance, nutrient balance, biotic community, soil organic matter, and other biological and chemical properties. They also alters the physical characteristics of soil, like compaction, erodibility, and stability. These impacts are dependent on soil conditions, and length of droughts, which are both highly variable.",Damage protective vegetation. Loss of cover due to event induced tree throw. Scalding removes topsoil.,Reduction of erosion control.,Natural/human action,Short-mid-long term,Global
Soils and sediments,Droughts,A,"Droughts can have a high impact on soil health, reducing fertility, causing changes in water balance, nutrient balance, biotic community, soil organic matter, and other biological and chemical properties. They also alters the physical characteristics of soil, like compaction, erodibility, and stability. These impacts are dependent on soil conditions, and length of droughts, which are both highly variable.",Drought displaces or reduces populations of biota. Also reduces thickness of soil water films and inhibits enzymes.,Disturbance of biotic and abiotic factors poses environmental constraints that can temporarily or indefinitely affect decomposition sensitivity.,Human action,Short-long term,Local-Global
Soils and sediments,Fire,A,"Although fire has been used as a tool to fertilize soils, they can also alter the surface and vegetation on soils, affecting erodibility and water availability and retention capacity. Fire also changes the biochemical, physical and biological properties of soils and affect nutrient cycling.",Damage protective vegetation. Loss of cover due to event induced tree throw. Scalding removes topsoil.,Reduction of erosion control.,Natural/human action,Short-mid-long term,Global
Soils and sediments,Flooding,A,"Floods decrease the stability of soils and cause changes incomposition. Oxygen availability is also affected by extended flooding and causes a shift in nutrient cycling, affecting soil processes in return.",Loss of cover due to event induced tree throw. Wave action generated by winds.,Damage protective vegetation.,Natural,Short term,Universal
Soils and sediments,Flooding,A,"Floods decrease the stability of soils and cause changes incomposition. Oxygen availability is also affected by extended flooding and causes a shift in nutrient cycling, affecting soil processes in return.",Wave action generated by wind and intense storms damages plants and cause changes in hydrology.,Loss or damage of vegetation can cause reduction in sediment retention capacity. Storm induced tree throw exposes soil and triggers erosion.,Natural,Short term,Local
Soils and sediments,Flooding,A,"Floods decrease the stability of soils and cause changes incomposition. Oxygen availability is also affected by extended flooding and causes a shift in nutrient cycling, affecting soil processes in return.","Alters biological soil community, structural properties of parent material by exposure to water.",Changes soil’s environment and modifies processes.,Human action,Long term,Local
Soils and sediments,Habitat modification,A,"Habitat modification can affect soils both chemically and physically. Physical modification, for example through agriculture, can increase exposure to the bare ground, reduced fertility or overgrazing - all which can affect soils. Habitat modification is expected to worsen as a result of demographic and economic growth, leading to adverse long term trends for soils and sediments.","Diversion of drainage furrows, waterways, dam by washes, etc.",Run-off concentration. Increase soil break up and vulnerability to erosion leading to loss of service.,Human action,Short-mid term,Local
Soils and sediments,Habitat modification,A,"Habitat modification can affect soils both chemically and physically. Physical modification, for example through agriculture, can increase exposure to the bare ground, reduced fertility or overgrazing - all which can affect soils. Habitat modification is expected to worsen as a result of demographic and economic growth, leading to adverse long term trends for soils and sediments.",Wetland drainage and peat harvesting causes land use change and exposes upper soil layer resulting in loss of soil organic carbon.,Wetland drainage increases soil aeration. Soil microorganism respiration rates therefore increase. Wetlands no longer accumulate soil organic carbon but become CO2 sources.,Human action,Short term,Global - wetlands
Soils and sediments,Habitat modification,A,"Habitat modification can affect soils both chemically and physically. Physical modification, for example through agriculture, can increase exposure to the bare ground, reduced fertility or overgrazing - all which can affect soils. Habitat modification is expected to worsen as a result of demographic and economic growth, leading to adverse long term trends for soils and sediments.",Land use change alters sediment supply causing state change in asset,Carbon burial in marine sediments is reduced; carbon emissions increased,Human action,Short term,Coastal ecosystems
Soils and sediments,Habitat modification,A,"Habitat modification can affect soils both chemically and physically. Physical modification, for example through agriculture, can increase exposure to the bare ground, reduced fertility or overgrazing - all which can affect soils. Habitat modification is expected to worsen as a result of demographic and economic growth, leading to adverse long term trends for soils and sediments.","Diversion of drainage furrows, waterways, dam by washes, etc.",Run-off concentration. Increased soil break up and vulnerability to water erosion.,Human action,Short-mid term,Local
Soils and sediments,Habitat modification,A,"Habitat modification can affect soils both chemically and physically. Physical modification, for example through agriculture, can increase exposure to the bare ground, reduced fertility or overgrazing - all which can affect soils. Habitat modification is expected to worsen as a result of demographic and economic growth, leading to adverse long term trends for soils and sediments.","Alters water flow, rock structure, topographic characteristics which alter soil composition",Changing decomposition and fixation processes.,Human action,Long term,Local
